component_id,part_name,weight
C-0504,BOSS,0.112
C-1300,FLANGE,1.734
C-0383,FLANGE,2.892
C-1985,PLATE,0.153
C-1021,COUPLING AS,0.086
C-1104,SCREEN,0.312
C-1206,SLEEVE-FITTING,0.005
C-0185,PLATE,0.064
C-1105,SHROUD,0.111
C-0439,ADAPTER-O LINE,NA
C-1794,LUG,0.045
C-0251,COLLAR,0.041
C-1675,TUBE AS-FUEL IN,NA
C-2040,TUBE AS-FUEL IN,NA
C-1358,ADAPTER,NA
C-1364,ELBOW-WATER,NA
C-0433,FITTING,NA
C-0828,HASP-OIL FILLER,0.036
C-1416,ROD,0.01
C-0677,FLANGE,0.156
C-0903,BRACKET,0.528
C-0719,FLANGE AS.,0.125
C-1253,BAR,0.094
C-0198,FLANGE,2.82
C-0825,ADAPTER,0.151
C-1227,SEAL-O-RING,0.002
C-1319,BRACKET,0.152
C-1353,ELBOW,0.569
C-0099,FLANGE,0.219
C-1917,BLOCK,0.05
C-1366,ELBOW,1.64
C-1391,ELBOW,0.75
C-0676,FLANGE,0.56
C-0481,ADAPTER-O DRAIN,NA
C-0304,FLANGE,1.035
C-0529,ADAPTER-EXH PIP,0.19
C-1531,BODY-RELIEF V,5
C-0446,ADAPTER-DRAIN,0.408
C-0620,BOSS,0.023
C-0627,ADAPTER,0.294
C-1561,ADAPTER,0.054
C-0470,BLOCK,3.859
C-0149,ORIFICE,0.084
C-2038,BOSS-WELD,0.048
C-0317,ADAPTER,0.776
C-0293,HEAD-FLANGED,0.15
C-1748,PLUG-CUP,0.001
C-0834,FLANGE,NA
C-0252,NUT-FUEL INJ,0.025
C-0835,TUBE,0.226
C-0876,FLANGE,7.92
C-0800,ADAPTER-OIL (GA,0.024
C-0924,HEAD-ADAPTER,0.102
C-0913,BLOCK CONNECTIO,0.1
C-1671,WASHER-FUEL INJ,0.005
C-1508,PLATE,0.1
C-1679,BRACKET,0.01
C-0582,NUT-ORFS,0.196
C-1858,LUG,0.021
C-0814,CLAMP-INJ LINE,NA
C-0514,PLATE AS.,NA
C-1664,FLANGE,1.046
C-0743,ORIFICE,0.063
C-0553,BLOCK,5.724
C-1571,SLEEVE,1.2
C-0745,ORIFICE,0.254
C-1341,RIVET-POP,0.001
C-0654,ELBOW,0.663
C-0472,BLOCK,7.5
C-1383,SLEEVE-FLARED,0.009
C-1563,CLIP,0.037
C-0744,ORIFICE,0.195
C-0294,BLOCK,0.444
C-0123,ADAPTER-OIL LIN,0.566
C-1258,PLATE,0.075
C-1861,RIVET,0.002
C-1972,PLUG-STOR,0.024
C-1509,BRACKET,0.2
C-0382,PLUG AS-STOR,0.186
C-1228,SEAL-O-RING,0.001
C-1939,SCREW-BLEEDER,0.098
C-1922,BLOCK,1
C-0395,PLATE,0.05
C-1510,PLATE,0.19
C-1949,WASHER,NA
C-0322,PLUG AS.,0.178
C-0644,RING,0.117
C-0867,NIPPLE AS.-45,0.025
C-1920,PLATE,0.15
C-1921,PLATE,1.042
C-1934,ELBOW,0.45
C-1851,ORIFICE,0.094
C-0037,LUG,0.081
C-0087,FLANGE,7.26
C-0145,PLATE AS,0.117
C-1696,ADAPTER,0.142
C-0201,PLATE,0.36
C-0267,COUPLING AS.,0.13
C-1835,PLUG-DETENT,0.02
C-0206,BLOCK-HYD,1.603
C-0281,HOSE AS.,0.118
C-0283,HOSE AS.,0.108
C-0312,ADAPTER-INLET,0.368
C-0328,TUBE AS.,0.679
C-1582,PIN,0.004
C-0848,FLANGE,1.361
C-0402,BLOCK-DRAIN,2.022
C-1249,BRACKET,0.087
C-0374,COUPLING AS,0.735
C-1380,NUT-FLARED,0.29
C-0542,PLATE,0.756
C-0639,FLANGE,0.927
C-1618,SEAL-O-RING-ORFS,0.001
C-0609,FLANGE,0.101
C-0667,CONNECTOR-WELD,NA
C-0706,FLANGE,1.403
C-0727,FLANGE,2.839
C-0541,FLANGE,0.512
C-0746,BRACKET,0.24
C-1651,NUT-SWIVEL,NA
C-0860,NIPPLE AS.-90,0.018
C-0865,NIPPLE AS.-90,0.019
C-1466,NUT-A/C,0.079
C-0932,SLEEVE,0.079
C-1000,ELBOW-90 DEG,0.293
C-1010,FLANGE,0.333
C-1081,BOSS,0.056
C-0764,COVER,1.42
C-1022,SPACER,0.008
C-0164,ADAPTER,0.179
C-1034,ELBOW-HYDRAULIC,4.57
C-0767,CONNECTOR,0.224
C-0412,BOSS,0.002
C-1061,ADAPTER-PIPE,0.219
C-1068,PLATE,0.245
C-1110,BOSS-SADDLE,0.072
C-1180,FLANGE,0.459
C-0776,PLATE,0.178
C-1106,FLANGE,0.999
C-1143,BOSS,0.057
C-1116,BOSS,0.15
C-0921,BOSS,0.111
C-1126,FLANGE,0.249
C-1130,BOSS,0.294
C-1119,FLANGE,0.696
C-1142,FLANGE,0.612
C-1157,FLANGE,1.558
C-1160,FLANGE,0.237
C-1158,PLATE,0.106
C-1189,CONNECTOR,0.176
C-1168,FLANGE,0.373
C-0988,FLANGE,0.355
C-1174,FLANGE,0.812
C-1278,FLANGE,2.871
C-1283,FLANGE,3.207
C-1027,FILLER,0.326
C-1298,TEE-ORFS BRAZE,0.576
C-1944,CLIP,0.091
C-1222,WASHER,0.018
C-1831,STUD-WELD,0.018
C-1945,CLIP,0.091
C-0313,SLEEVE,1.169
C-0404,SLEEVE,10.56
C-1381,SLEEVE-FLARED,0.033
C-0341,PLATE,0.067
C-1001,TEE,0.263
C-0765,ADAPTER,0.323
C-1150,PLATE,0.055
C-0979,ADAPTER,0.104
C-1940,NUT-WELD,0.005
C-1309,REDUCER,0.26
C-1262,FLANGE,0.907
C-1182,TUBE AS,0.555
C-1144,BOSS,0.093
C-1260,BOSS,0.08
C-1303,FLANGE,1.763
C-1815,PLUG-ORIFICE,0.005
C-1987,PLATE,0.47
C-0631,BLOCK,2.481
C-0766,TUBE,0.432
C-1151,PLATE,0.054
C-1261,BOSS,0.077
C-0155,PLATE,0.098
C-1007,TUBE,0.432
C-1169,BRACKET,0.512
C-1226,SPACER,0.021
C-0570,RING,0.008
C-0680,ELBOW,1.265
C-1498,BOSS,0.093
C-0672,ADAPTER,0.277
C-0437,TUBE AS-O SUPPL,NA
C-0649,FLANGE,1.349
C-0771,FLANGE,1.086
C-0234,PLATE,0.15
C-0477,HASP-OIL FILLER,0.045
C-0922,CAP-ORIFICE,0.003
C-0523,TUBE AS.,NA
C-0587,TUBE AS.,3.207
C-0661,STRAP,0.024
C-0914,BLOCK CONNECTIO,0.101
C-1323,PLUG-CORE,0.005
C-0286,NUT-WELD,0.006
C-1036,FLANGE,1.034
C-1437,FITTING,1.36
C-0364,FLANGE,0.147
C-0118,FLANGE,NA
C-0708,FLANGE,0.815
C-1371,ELBOW,0.758
C-0478,NUT-INJ F V,0.05
C-1752,ELBOW-MANF IN,0.67
C-0852,FLANGE,0.047
C-1400,TUBE AS-SUPPLY,0.332
C-0853,GUSSET,0.509
C-0435,TUBE AS-SUPPLY,0.5
C-0436,TUBE AS-SUPPLY,0.5
C-1399,FLANGE,0.15
C-0647,TUBE AS-DRAIN,0.922
C-1324,CLIP,0.189
C-1572,TUBE AS,NA
C-1361,ADAPTER,NA
C-0845,TUBE,4.812
C-0301,BLOCK,1.64
C-0297,TUBE,1.165
C-0849,CAP AS-O FILLER,0.237
C-1414,ADAPTER,0.091
C-1823,FLANGE,0.441
C-0467,CLAMP,0.01
C-1692,SPACER,0.03
C-0586,TUBE AS,0.614
C-0135,ELBOW-AFTCLR,1.5
C-1957,ELBOW,1.179
C-0195,FLANGE,3
C-0197,FLANGE,3.81
C-2039,TUBE AS-FUEL IN,NA
C-2041,TUBE AS-FUEL IN,NA
C-1691,ELBOW,0.78
C-0427,SEAL-O RING,0.001
C-0871,ADAPTER,0.566
C-1377,ELBOW,0.454
C-0916,MANIFOLD,2.74
C-0682,ELBOW,1.258
C-0735,CAP,0.004
C-0728,ELBOW,1.009
C-0757,ELBOW,0.25
C-0759,ADAPTER,0.022
C-0067,TUBE,0.265
C-0476,ADAPTER,0.599
C-1932,PLATE,0.336
C-0879,BRACKET,0.117
C-0039,TUBE,1.953
C-0842,TUBE AS,NA
C-0183,ELBOW,0.795
C-0803,ADAPTER,0.463
C-0901,NUT-37° FLARED,0.015
C-1818,FITTING-NUT,0.016
C-0316,ELBOW,0.792
C-0742,ORIFICE,0.243
C-0689,FLANGE-ONE PIEC,2.053
C-1438,PLUG-PIPE,0.019
C-0484,TUBE-TURBO OIL,0.502
C-1857,NUT-MALE PIPE,NA
C-1827,NUT-TUBE,0.01
C-0482,TUBE AS,NA
C-1251,FLANGE-CAPTIVE,0.502
C-1360,TUBE AS,NA
C-1485,WASHER-HARD,0.009
C-1250,PLATE,0.073
C-0305,PLATE,0.459
C-1192,TUBE (BULK),NA
C-1193,TUBE,NA
C-1422,COUPLING AS,0.279
C-0851,ELBOW,1.8
C-0603,HEAD-FLANGED,0.33
C-0818,SPACER,0.081
C-0055,FITTING,0.002
C-0847,TUBE AS,NA
C-1540,CLIP,0.059
C-0841,TUBE AS,0.725
C-1738,FLANGE,2.315
C-1732,CLAMP,0.045
C-0673,ADAPTER,0.844
C-1959,BRACKET,NA
C-0098,FLANGE,0.236
C-1787,JOINT-T,1.53
C-0270,SPACER,0.037
C-0794,ELBOW-HYDRAULIC,12.03
C-0733,ELBOW-HYDRAULIC,NA
C-0790,FLANGE,0.68
C-0235,PIPE,4.337
C-0777,FLANGE,0.685
C-1757,TUBE AS,0.4
C-1556,TUBE,4.175
C-1401,ELBOW,0.085
C-0319,ELBOW,0.778
C-1754,TUBE,0.5
C-0230,TUBE AS,0.216
C-0298,BRACKET,0.096
C-0299,TUBE,0.331
C-1825,FILLER,0.445
C-1955,SCREEN AS,0.5
C-0713,ORIFICE,0.222
C-0265,FLANGE,4.59
C-0637,FLANGE,3.225
C-1923,FITTING,0.773
C-0040,ADAPTER,1.693
C-0715,ADAPTER - GAGE,0.131
C-1009,FLANGE,1.5
C-0861,NOZZLE,0.005
C-0716,ADAPTER RING,2.259
C-0738,BRACKET,0.442
C-0604,BRACKET,0.204
C-0760,SLEEVE-ORFS,0.009
C-0883,PLATE AS.,0.08
C-1372,FLANGE,0.1
C-0034,FLANGE,0.424
C-0724,TUBE-BULK,0.32
C-1581,TUBE,3.433
C-1693,PLATE,0.017
C-1755,TUBE AS-IN,0.831
C-0704,TUBE,0.28
C-0705,TUBE,0.2
C-1822,PLATE,0.123
C-0056,FITTING,0.004
C-1690,ELBOW,0.66
C-1856,ADAPTER-OIL LIN,1
C-0113,TUBE,3.416
C-0904,FLANGE,0.668
C-0236,GUSSET,0.036
C-0906,ADAPTER,0.087
C-0089,FLANGE,0.06
C-0300,BRACKET,0.068
C-1562,COVER-FRONT HSG,NA
C-0233,TUBE,0.163
C-0528,RETAINER,0.03
C-0725,BAR,0.013
C-0128,COUPLING AS-PER,0.158
C-1824,ELBOW,0.749
C-0729,ELBOW,0.631
C-0525,FLANGE,2
C-0505,ADAPTER,0.539
C-0645,ADAPTER,0.226
C-0812,PLATE,0.85
C-0784,ADAPTER,0.1
C-2047,FLANGE,0.026
C-1674,NUT-FUEL INJ,0.035
C-1800,ELBOW-90 DEG,0.853
C-0885,TUBE AS,1.23
C-0886,TUBE AS,1.09
C-0887,TUBE AS,0.9
C-0888,TUBE AS,0.785
C-0902,FLANGE,5.457
C-1558,PLATE,2.95
C-0167,FLANGE-O FILLER,0.27
C-0983,TUBE AS,4.405
C-0984,TUBE AS,4.427
C-0868,NIPPLE AS.-45,0.022
C-0788,TUBE AS,4.134
C-1559,ADAPTER,2.219
C-1971,PLUG-STOR,0.044
C-1813,RIVET-BLIND,0.014
C-0375,NUT-DIRECT INJ,0.019
C-1560,FLANGE,6.9
C-1933,ELBOW,0.451
C-0024,BLOCK,0.509
C-0032,TUBE,4.485
C-1532,FLANGE,0.291
C-1596,NUT-A/C,NA
C-0109,PLATE,0.063
C-0114,TUBE,2.927
C-0116,PLATE-FLANGE,0.1
C-1310,WASHER,0.012
C-0136,FLANGE AS.,NA
C-0469,COLLAR-O-RING,0.068
C-1570,ADAPTER,NA
C-1397,SCREEN,0.011
C-1504,HANGER-COAT,0.826
C-1541,CLIP,0.148
C-1573,FLANGE,NA
C-0222,MANIFOLD,9.456
C-1367,ADAPTER,0.155
C-1765,PLATE,0.706
C-0280,TUBE AS.,0.614
C-1977,NUT-FULL,0.005
C-1666,MANIFOLD,1.719
C-0282,TUBE AS.,NA
C-1799,CONNECTOR-SEAL,0.01
C-0326,PLATE,0.336
C-0088,FLANGE,6.35
C-0310,SPACER,0.283
C-0373,ADAPTER,0.105
C-0330,ELBOW,1
C-0103,BLOCK,1.457
C-1737,SEAL-O-RING,0.001
C-0346,PLATE,0.04
C-0396,FLANGE,0.352
C-0349,FLANGE-PIPE,2
C-0372,BRACKET,0.049
C-0576,CLEAT,0.019
C-1753,BLOCK,1.8
C-1926,PLATE,0.188
C-1741,ELBOW,0.749
C-0408,TEE-HYDRAULIC,2.26
C-1387,FITTING,0.13
C-1528,BOSS,0.28
C-0540,FLANGE-LOWER,0.251
C-0507,SCREEN AS.,NA
C-0511,ADAPTER,0.225
C-0512,ANGLE AS,0.18
C-0519,PLATE,0.077
C-0324,PLUG AS.,0.319
C-0614,HEAD-FLANGED,0.599
C-0524,FLANGE-ONE PIECE,0.36
C-0527,TUBE,1.903
C-0530,PLATE,0.04
C-0515,PLATE,0.019
C-0558,COVER,0.171
C-0559,BRACKET,0.034
C-0561,FLANGE,1.044
C-1515,SHEET,0.301
C-0980,TUBE,0.841
C-0564,TUBE,4.312
C-0843,ORIFICE,0.11
C-0588,PLATE,0.62
C-0592,TUBE,1.218
C-0563,PLATE,0.406
C-1662,CAP-ORFS,0.038
C-0241,PLUG AS-HSH-STO,0.118
C-1321,PLATE,0.402
C-0416,PLATE,0.06
C-1204,FITTING-FILLER,1.46
C-0610,TUBE,0.516
C-0611,TUBE,0.851
C-0613,ELBOW-HYDRAULIC,2.46
C-1984,PLATE,0.15
C-0634,TUBE,0.236
C-0696,COUPLING (1 BSP),0.176
C-0635,TUBE,9.57
C-0068,TUBE AS,NA
C-0648,FLANGE,0.552
C-0650,FLANGE,0.413
C-0657,PLATE,0.182
C-0658,PLATE,0.17
C-0536,SCREEN,0.16
C-1526,PLATE,0.102
C-0430,WASHER,0.222
C-0127,COUPLING AS-PERM,0.166
C-0091,COUPLING-PERM,0.164
C-0590,FLANGE-CAPTIVE,0.279
C-0125,COUPLING AS-PERM,0.165
C-0397,ORIFICE AS.-A/C,0.004
C-0892,CLEAT,0.055
C-0838,PLATE BLANK,0.04
C-0126,COUPLING AS-PERM,0.162
C-0711,PLATE,0.493
C-0718,CONNECTOR-WELD,0.021
C-0714,TUBE,0.915
C-0721,TUBE,2.719
C-0726,TUBE,1.327
C-0731,BLOCK,1.722
C-1240,HEAD-FLANGED,0.1
C-0010,NUT-FUEL TUBE,0.01
C-0736,PLATE,1.519
C-2042,BOSS,0.002
C-1524,PLATE,0.339
C-1942,PLATE,0.1
C-1424,COUPLING AS,0.495
C-0047,BAR,0.233
C-0773,BLOCK,2.316
C-0779,FLANGE,0.37
C-0809,CLEAT,0.062
C-0801,ELBOW-AIR (CRS),0.122
C-0810,BLOCK,2.532
C-0866,NIPPLE AS.-90,0.019
C-2036,SEAL-O-RING,0.001
C-0811,BRACKET AS.,NA
C-0517,ADAPTER,0.031
C-0929,PLATE,0.019
C-0878,NIPPLE AS.-77,0.025
C-0862,ORIFICE,0.278
C-0898,PLATE,0.005
C-1876,BOSS-WELD,0.038
C-2012,COUPLING,0.279
C-1093,BRACKET,0.613
C-0232,BOSS,0.073
C-0926,FLANGE,0.18
C-0896,COUPLING-PIPE,0.028
C-0668,PLATE,1.028
C-1330,ANGLE,0.242
C-0951,ADAPTER,0.203
C-0995,BLOCK,1.253
C-1241,BOSS,0.074
C-0877,NUT-SWIVEL,0.01
C-0785,PLATE,0.277
C-1082,BELLOW AS,1.954
C-1875,NUT-WELD,0.025
C-0990,BLOCK AS,1.75
C-2011,COUPLING,0.211
C-0997,FILLER AS,5.098
C-0998,BLOCK,6.195
C-1170,BOSS-SADDLE,0.048
C-0919,REQUIREMENTS,NA
C-1003,TUBE AS,NA
C-1517,FLANGE,0.09
C-0781,FLANGE,2.254
C-1523,PLATE,0.038
C-1017,CONNECTOR-WELD,0.028
C-1023,BRACKET,0.223
C-0200,BOSS-WELD,0.223
C-1030,FLANGE,0.803
C-1051,TUBE,3.514
C-1038,PLATE,0.288
C-1047,CONNECTOR-WELD,0.094
C-1046,TEE-HYDRAULIC,4.814
C-1050,BLOCK,12.9
C-1052,TUBE,0.812
C-1891,PLUG-NPTF,0.009
C-1279,BOSS,0.059
C-1090,CONNECTOR-WELD,0.421
C-1133,ADAPTER,0.3
C-1062,FLANGE,0.831
C-0763,BLOCK,6.679
C-1028,TUBE,1.118
C-0907,FITTING,0.02
C-1040,SHELL,0.001
C-1048,CONNECTOR-WELD,0.438
C-1077,PLATE,1.169
C-1042,SHELL,0.003
C-1085,FITTING-BRAZE,0.129
C-0302,PLUG AS-LD STOR,0.015
C-1044,SHELL,0.001
C-1094,FLANGE,0.619
C-1100,BOSS-SADDLE,0.256
C-1101,BOSS-SADDLE,0.264
C-1108,TUBE,4.383
C-0490,RING-RETAINING,0.026
C-1125,TUBE,6
C-1086,ELBOW,0.4
C-0153,TUBE AS,1.161
C-1114,HOSE,4.585
C-1118,PLATE,0.027
C-1131,TUBE,6.068
C-1075,PLATE,0.354
C-1136,CONNECTOR-SEAL,NA
C-1137,ADAPTER AS,0.724
C-1139,BOSS,0.206
C-1167,BOSS,0.119
C-1165,TUBE,1.427
C-0287,NUT-WELD,0.01
C-1153,PLATE,0.042
C-0884,SOCKET,0.033
C-0889,SOCKET,0.016
C-1154,FLANGE,1.137
C-1155,FLANGE,1.806
C-1156,FLANGE,1.048
C-1159,BOSS,0.287
C-1163,BRACKET,0.354
C-1162,BRACKET,0.239
C-1166,CONNECTOR,0.131
C-1175,FLANGE,0.462
C-1176,FLANGE,0.995
C-1177,FLANGE,0.741
C-1178,FLANGE,2.67
C-1179,FLANGE,4.245
C-0925,STUD,0.018
C-1181,CONNECTOR,0.28
C-1188,FLANGE,0.615
C-1190,ADAPTER,0.375
C-1191,FLANGE,3.365
C-1246,PLUG-ORIFICE,0.001
C-1252,TUBE AS,NA
C-1472,FITTING-A/C,NA
C-1473,FITTING-A/C,NA
C-1099,ADAPTER,0.525
C-1265,FLANGE-WELD,3.13
C-1148,ADAPTER,0.537
C-1280,BOSS,0.11
C-1273,BOSS,0.095
C-1266,FLANGE,2.102
C-1272,TUBE,3.353
C-1293,RING,0.112
C-1275,FLANGE,0.582
C-1276,FLANGE,0.706
C-1289,FLANGE,0.699
C-1281,FLANGE,1.889
C-1305,BOSS,0.241
C-1307,BOSS-SADDLE,0.17
C-1288,FLANGE,0.698
C-0531,BLOCK,0.096
C-1290,TUBE,13.77
C-1291,TUBE,6.927
C-1292,TUBE,6.259
C-1185,FLANGE,2.443
C-1264,PLATE,0.209
C-1295,TUBE,0.571
C-1297,FLANGE,1.554
C-1302,FLANGE,0.376
C-1301,FLANGE,1.811
C-0224,BOSS,0.28
C-1322,FLANGE,0.074
C-1201,NUT-45 (DEG),0.026
C-1396,TUBE AS-RH,NA
C-1395,TUBE AS-LH,NA
C-1938,BLOCK,0.862
C-1388,TUBE-BAFFLE,2.6
C-1569,TUBE AS,NA
C-0431,ELBOW,0.21
C-0429,ELBOW,0.015
C-1709,PLUG,0.052
C-1915,TUBE AS,NA
C-1916,TUBE AS,NA
C-1237,TEE-FLARED,0.409
C-1918,TUBE AS,1.86
C-1797,TEE-UNION,0.239
C-1730,ELBOW,0.129
C-1325,PIN-SPRING,0.005
C-0025,TUBE-LUBRICATION,0.15
C-0033,FLANGE,1.662
C-1847,CLIP,0.158
C-1852,SCREEN-PUMP TUBE,0.009
C-1810,COUPLER-QDISC,0.25
C-1574,ORIFICE,0.098
C-1766,PLATE,0.113
C-1961,PIN-DOWEL,0.195
C-0256,TUBE,0.597
C-1929,FITTING,0.257
C-0291,TUBE AS.,0.559
C-0290,TUBE AS.,0.408
C-0327,TUBE,7.304
C-0311,ADAPTER-INLET,0.578
C-1878,STUD-WELD,0.02
C-1979,PLUG-STOR,0.117
C-0350,PIPE,1
