tube_assembly_id,component_id_1,quantity_1,component_id_2,quantity_2,component_id_3,quantity_3,component_id_4,quantity_4,component_id_5,quantity_5,component_id_6,quantity_6,component_id_7,quantity_7,component_id_8,quantity_8
TA-00036,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00037,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00038,C-1621,1,C-1628,1,C-0022,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00039,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00040,C-1621,1,C-1622,1,C-1628,1,C-1660,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00041,C-1420,1,C-1421,1,C-1850,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00042,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00043,C-1642,1,C-0023,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00045,C-0024,2,C-0025,1,C-0026,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00046,C-1233,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00047,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00048,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00049,C-0444,1,C-0445,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00050,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00051,C-0027,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00052,C-1536,2,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00053,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00054,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00055,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00056,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00057,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00058,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00059,C-1780,1,C-0013,1,C-0032,1,C-0033,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00060,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00061,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00062,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00063,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00065,C-1767,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00066,C-1565,1,C-1724,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00067,C-1941,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00068,C-1555,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00069,C-1374,1,C-1369,2,C-1375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00071,C-1817,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00072,C-1345,1,C-1502,1,C-1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00073,C-1355,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00075,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00076,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00077,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00078,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00079,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00080,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00081,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00082,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00083,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00084,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00085,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00086,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00087,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00088,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00089,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00090,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00091,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00092,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00093,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00094,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00095,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00096,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00097,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00098,C-1538,1,C-1625,1,C-1632,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00099,C-1993,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00100,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00102,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00103,C-1521,1,C-1831,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00104,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00105,C-1670,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00107,C-0441,1,C-1420,1,C-1421,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00108,C-1625,1,C-1632,1,C-1842,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00109,C-1625,1,C-1632,1,C-1842,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00110,C-0038,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00111,C-1585,2,C-1598,1,C-1759,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00112,C-0055,1,C-0056,5,C-1845,1,C-1846,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00113,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00114,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00115,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00116,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00117,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00118,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00119,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00120,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00121,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00122,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00123,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00124,C-1312,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00125,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00126,C-1624,2,C-1631,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00127,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00128,C-1638,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00129,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00130,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00131,C-1625,2,C-1632,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00132,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00133,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00134,C-1624,1,C-1631,1,C-1641,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00135,C-1817,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00136,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00138,C-1750,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00141,C-1468,1,C-1474,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00142,C-1476,1,C-1481,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00143,C-1882,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00144,C-1717,1,C-2016,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00145,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00146,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00147,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00148,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00149,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00150,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00151,C-1532,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00152,C-0468,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00153,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00154,C-1625,1,C-1635,1,C-1644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00155,C-1625,1,C-1635,1,C-1644,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00156,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00157,C-1649,1,C-1909,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00158,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00159,C-1625,1,C-1632,1,C-1642,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00160,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00161,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00162,C-1476,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00163,C-1243,2,C-1244,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00164,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00165,C-1355,1,C-1563,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00166,C-1925,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00167,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00168,C-1474,1,C-1596,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00169,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00170,C-1218,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00171,C-1644,1,C-1908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00172,C-1644,1,C-1908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00173,C-1624,1,C-1647,1,C-1654,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00174,C-1625,1,C-1632,1,C-1649,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00175,C-0448,1,C-0449,1,C-0061,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00176,C-0448,1,C-0449,1,C-0061,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00177,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00178,C-1420,1,C-1421,1,C-0045,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00179,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00180,C-1638,1,C-1645,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00181,C-1468,1,C-1480,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00182,C-1475,1,C-1476,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00183,C-1477,1,C-1483,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00184,C-1623,1,C-1630,1,C-1640,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00185,C-1623,1,C-1630,1,C-1640,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00186,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00187,C-1620,2,C-1627,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00188,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00189,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00190,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00191,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00192,C-1312,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00193,C-1621,1,C-1628,1,C-1681,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00194,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00195,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00196,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00197,C-1647,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00198,C-1345,1,C-1502,1,C-1970,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00199,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00200,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00201,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00202,C-0444,2,C-0445,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00203,C-1621,1,C-1628,1,C-1638,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00204,C-1623,1,C-1630,1,C-0063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00205,C-1625,1,C-1632,1,C-0237,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00206,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00207,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00208,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00209,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00210,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00211,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00212,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00213,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00214,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00215,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00216,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00217,C-1460,1,C-2018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00218,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00219,C-1845,2,C-1846,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00220,C-1475,1,C-1476,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00221,C-1623,2,C-1630,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00222,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00223,C-1623,1,C-1630,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00224,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00226,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00227,C-1620,1,C-1624,1,C-1627,1,C-1657,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00228,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00229,C-1925,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00230,C-0448,2,C-0449,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00231,C-1625,1,C-1632,1,C-1649,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00232,C-1642,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00233,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00234,C-1621,2,C-1628,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00235,C-1622,2,C-1629,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00236,C-1625,1,C-1632,1,C-1649,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00237,C-1623,1,C-1630,1,C-1647,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00238,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00239,C-1420,2,C-1421,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00240,C-1555,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00241,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00242,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00243,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00244,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00245,C-1620,1,C-1621,1,C-1627,1,C-1661,1,NA,NA,NA,NA,NA,NA,NA,NA
TA-00246,C-1620,2,C-1627,1,C-2035,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00247,C-1243,1,C-1244,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
