tube_assembly_id,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,spec9,spec10
TA-00036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00037,SP-0058,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00038,SP-0007,SP-0007,SP-0068,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00039,SP-0007,SP-0024,SP-0069,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00041,SP-0007,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA
TA-00042,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00046,SP-0004,SP-0058,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA
TA-00047,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00048,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00049,SP-0058,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00050,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00058,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00066,SP-0007,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00067,SP-0007,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00068,SP-0007,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00069,SP-0080,SP-0057,NA,NA,NA,NA,NA,NA,NA,NA
TA-00070,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00071,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00073,SP-0007,SP-0009,SP-0016,SP-0070,SP-0080,NA,NA,NA,NA,NA
TA-00074,SP-0007,SP-0016,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA
TA-00075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00090,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00098,SP-0007,SP-0007,SP-0070,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00103,SP-0007,SP-0013,SP-0055,NA,NA,NA,NA,NA,NA,NA
TA-00104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00106,SP-0012,SP-0058,NA,NA,NA,NA,NA,NA,NA,NA
TA-00107,SP-0007,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA
TA-00108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00110,SP-0007,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00111,SP-0012,SP-0024,SP-0025,SP-0026,SP-0061,SP-0080,NA,NA,NA,NA
TA-00112,SP-0007,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00114,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00115,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00116,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00117,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00119,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,SP-0082,NA,NA,NA,NA
TA-00120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00124,SP-0012,SP-0036,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA
TA-00125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00127,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,SP-0082,NA,NA,NA,NA
TA-00128,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,SP-0082,NA,NA,NA,NA
TA-00129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00135,SP-0005,SP-0009,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00136,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,SP-0082,NA,NA,NA,NA
TA-00137,SP-0058,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00138,SP-0007,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00139,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00140,SP-0051,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00141,SP-0007,SP-0012,SP-0020,SP-0026,SP-0080,NA,NA,NA,NA,NA
TA-00142,SP-0007,SP-0012,SP-0020,SP-0026,SP-0080,NA,NA,NA,NA,NA
TA-00143,SP-0012,SP-0024,SP-0026,SP-0061,SP-0080,NA,NA,NA,NA,NA
TA-00144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00165,SP-0007,SP-0009,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00166,SP-0004,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00167,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00169,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00178,SP-0007,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA
TA-00179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00186,SP-0063,SP-0067,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA
TA-00187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00188,SP-0012,SP-0026,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA
TA-00189,SP-0012,SP-0024,SP-0026,SP-0063,SP-0080,NA,NA,NA,NA,NA
TA-00190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00191,SP-0012,SP-0024,SP-0026,SP-0063,SP-0080,NA,NA,NA,NA,NA
TA-00192,SP-0012,SP-0026,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA
TA-00193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00194,SP-0007,SP-0024,SP-0026,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA
TA-00195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00196,SP-0007,SP-0024,SP-0026,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA
TA-00197,SP-0007,SP-0024,SP-0026,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA
TA-00198,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,NA,NA,NA,NA,NA
TA-00199,SP-0012,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00201,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00202,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00204,SP-0007,SP-0069,SP-0080,SP-0082,NA,NA,NA,NA,NA,NA
TA-00205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00207,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00208,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00210,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00212,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00213,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00214,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00216,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00218,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00219,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00220,SP-0007,SP-0012,SP-0020,SP-0024,SP-0026,SP-0080,NA,NA,NA,NA
TA-00221,SP-0007,SP-0067,SP-0069,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00223,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,SP-0082,NA,NA,NA,NA
TA-00224,SP-0007,SP-0069,SP-0080,SP-0082,NA,NA,NA,NA,NA,NA
TA-00225,SP-0058,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00228,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00229,SP-0004,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00231,SP-0007,SP-0024,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00232,SP-0007,SP-0024,SP-0026,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA
TA-00233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00234,SP-0024,SP-0080,SP-0082,NA,NA,NA,NA,NA,NA,NA
TA-00235,SP-0007,SP-0024,SP-0026,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA
TA-00236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00237,SP-0007,SP-0024,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00238,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00239,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00240,SP-0007,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00241,SP-0058,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00242,SP-0058,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00245,SP-0007,SP-0070,SP-0080,SP-0082,NA,NA,NA,NA,NA,NA
TA-00246,SP-0007,SP-0070,SP-0080,SP-0082,NA,NA,NA,NA,NA,NA
TA-00247,SP-0058,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00248,SP-0007,SP-0070,SP-0080,SP-0082,NA,NA,NA,NA,NA,NA
TA-00249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00250,SP-0007,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00251,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00252,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,NA,NA,NA,NA,NA
TA-00253,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,NA,NA,NA,NA,NA
TA-00254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00255,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00256,SP-0012,SP-0026,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA
TA-00257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00268,SP-0058,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00275,SP-0007,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00277,SP-0007,SP-0016,SP-0017,SP-0058,SP-0070,SP-0080,NA,NA,NA,NA
TA-00278,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00281,SP-0013,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00282,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00283,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00284,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00285,SP-0013,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00286,SP-0013,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00287,SP-0013,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00288,SP-0013,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00289,SP-0013,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00299,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,SP-0082,NA,NA,NA,NA
TA-00300,SP-0007,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00301,SP-0007,SP-0012,SP-0024,SP-0026,SP-0080,SP-0082,NA,NA,NA,NA
TA-00302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00303,SP-0007,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA
TA-00304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00305,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00307,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00309,SP-0058,SP-0070,NA,NA,NA,NA,NA,NA,NA,NA
TA-00310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00316,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00317,SP-0007,SP-0024,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00318,SP-0007,SP-0024,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA,NA
TA-00319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00324,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00325,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00326,SP-0063,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00327,SP-0007,SP-0063,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA
TA-00328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00330,SP-0070,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA
TA-00331,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00332,SP-0080,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00333,SP-0007,SP-0024,SP-0026,SP-0076,SP-0080,SP-0082,NA,NA,NA,NA
TA-00334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00340,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TA-00342,SP-0063,SP-0069,SP-0080,NA,NA,NA,NA,NA,NA,NA
TA-00343,SP-0012,SP-0024,SP-0026,SP-0047,SP-0050,SP-0080,NA,NA,NA,NA
