tube_assembly_id,material_id,diameter,wall,length,num_bends,bend_radius,end_a_1x,end_a_2x,end_x_1x,end_x_2x,end_a,end_x,num_boss,num_bracket,other
TA-00051,SP-0029,76.2,1.65,67,1,152.4,N,N,Y,Y,NONE,EF-017,0,0,0
TA-00052,SP-0029,25.4,1.65,96,1,63.5,N,N,N,N,EF-003,EF-003,2,0,0
TA-00053,SP-0029,9.52,0.71,24,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00054,SP-0029,9.52,1.24,92,8,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00055,SP-0029,15.88,1.65,127,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00056,SP-0029,15.88,1.65,128,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00057,SP-0029,25.4,2.41,71,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00058,SP-0019,6.35,0.71,50,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00059,SP-0029,114.3,2.41,68,0,0,Y,Y,Y,Y,EF-017,EF-003,1,0,0
TA-00060,SP-0039,6.35,0.71,120,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00061,SP-0039,6.35,0.71,107,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00062,SP-0035,9.52,0.89,53,5,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00063,SP-0035,9.52,0.89,12,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00064,SP-0029,25.4,1.65,89,5,50.8,N,N,N,N,NONE,NONE,0,0,0
TA-00065,SP-0029,25.4,3.05,193,0,0,N,N,N,N,NONE,EF-003,0,0,0
TA-00066,SP-0028,12.7,0.89,3,0,0,N,N,N,N,EF-003,EF-003,0,0,0
TA-00067,SP-0028,25.4,1.65,13,1,38.1,N,N,N,Y,EF-009,EF-003,0,0,0
TA-00068,SP-0028,25.4,1.65,52,3,50.8,Y,Y,N,N,EF-003,EF-009,0,0,0
TA-00069,SP-0041,6.35,2.26,98,10,19.05,N,N,N,N,EF-015,EF-015,0,0,0
TA-00070,SP-0028,57.15,1.65,118,4,127,N,Y,N,N,EF-009,EF-009,0,0,0
TA-00071,SP-0028,9.52,0.89,62,3,127,N,N,N,N,NONE,NONE,0,0,0
TA-00072,SP-0029,12.7,0.89,76,7,38.1,N,N,N,N,EF-003,EF-003,1,0,0
TA-00073,SP-0028,12.7,0.89,61,2,127,N,N,N,N,EF-003,EF-003,0,1,0
TA-00074,SP-0028,31.75,1.65,27,2,76.2,N,Y,N,N,EF-003,NONE,0,0,0
TA-00075,SP-0039,6.35,0.71,135,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00076,SP-0039,6.35,0.71,218,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00077,SP-0046,21.7,2.8,92,4,55,N,N,N,N,EF-021,EF-021,0,0,0
TA-00078,SP-0039,6.35,0.71,133,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00079,SP-0039,6.35,0.71,129,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00080,SP-0039,6.35,0.71,125,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00081,SP-0039,6.35,0.71,121,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00082,SP-0039,6.35,0.71,103,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00083,SP-0039,6.35,0.71,103,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00084,SP-0039,6.35,0.71,132,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00085,SP-0039,6.35,0.71,128,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00086,SP-0039,6.35,0.71,83,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00087,SP-0039,6.35,0.71,86,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00088,SP-0046,21.7,2.8,131,6,55,N,N,N,N,EF-021,EF-021,0,0,0
TA-00089,SP-0039,6.35,0.71,94,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00090,SP-0039,6.35,0.71,122,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00091,SP-0039,6.35,0.71,125,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00092,SP-0039,6.35,0.71,129,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00093,SP-0039,6.35,0.71,132,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00094,SP-0039,6.35,0.71,122,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00095,SP-0039,6.35,0.71,106,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00096,SP-0039,6.35,0.71,106,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00097,SP-0029,9.52,1.65,96,5,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00098,SP-0028,25.4,1.65,124,9,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00099,SP-0029,22.22,3.05,182,5,50.8,N,N,N,N,NONE,NONE,1,0,0
TA-00100,SP-0029,9.52,0.89,41,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00101,SP-0028,6.35,0.89,94,2,76.2,N,N,N,N,EF-003,EF-003,0,0,0
TA-00102,SP-0035,6.35,0.89,40,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00103,SP-0029,152.4,1.65,35,0,0,N,N,N,N,EF-003,NONE,0,0,0
TA-00104,SP-0028,12.7,0.89,68,2,25.4,N,N,N,Y,EF-003,EF-003,0,0,0
TA-00105,SP-0029,41.28,1.65,83,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0
TA-00106,SP-0029,63.5,1.65,38,1,101.6,N,N,Y,Y,EF-017,EF-017,0,0,0
TA-00107,SP-0035,15.88,1.65,138,7,38.1,N,N,N,N,EF-018,EF-003,0,0,0
TA-00108,SP-0029,25.4,3.05,31,2,63.5,N,Y,N,N,EF-003,EF-023,0,0,0
TA-00109,SP-0029,25.4,3.05,67,2,63.5,N,N,N,N,EF-003,EF-023,0,0,0
TA-00110,SP-0028,25.4,1.65,31,2,50.8,N,N,N,Y,EF-009,EF-003,0,0,0
TA-00111,SP-0029,25.4,2.41,58,2,63.5,N,N,N,N,EF-012,EF-012,0,0,0
TA-00112,SP-0028,6.35,0.89,66,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00113,SP-0029,6.35,0.71,44,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00114,SP-0035,6.35,0.89,138,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00115,SP-0035,6.35,0.89,50,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00116,SP-0035,6.35,0.89,20,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00117,SP-0035,15.88,1.24,31,2,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00118,SP-0029,12.7,0.89,116,5,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00119,SP-0029,9.52,0.89,68,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00120,SP-0029,9.52,0.89,43,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00121,SP-0029,9.52,0.89,43,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00122,SP-0029,9.52,0.89,44,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00123,SP-0029,19.05,1.24,159,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00124,SP-0019,6.35,0.71,29,2,19.05,N,N,N,N,NONE,EF-008,0,0,0
TA-00125,SP-0029,25.4,2.41,44,2,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00126,SP-0029,19.05,2.11,70,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00127,SP-0029,9.52,0.89,19,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00128,SP-0029,9.52,0.89,128,10,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00129,SP-0028,6.35,0.89,94,2,38,Y,Y,Y,Y,EF-003,EF-003,0,0,0
TA-00130,SP-0028,6.35,0.89,149,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00131,SP-0029,25.4,2.41,63,2,63.5,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00132,SP-0029,19.05,2.11,72,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00133,SP-0029,19.05,2.11,99,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00134,SP-0029,19.05,2.11,99,3,50.8,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00135,SP-0028,9.52,0.89,75,1,127,N,N,N,N,NONE,NONE,0,1,0
TA-00136,SP-0029,9.52,0.89,31,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00137,SP-0028,31.75,1.65,23,2,38.1,N,Y,N,Y,EF-009,EF-009,0,0,0
TA-00138,SP-0028,25.4,1.65,39,2,50.8,N,N,N,Y,EF-009,EF-003,0,0,0
TA-00139,SP-0028,57.15,1.65,222,5,114.3,N,N,N,N,EF-009,EF-009,0,0,0
TA-00140,SP-0028,57.15,1.65,89,2,101.6,N,N,N,Y,NONE,NONE,0,0,0
TA-00141,SP-0035,9.52,0.89,205,8,19.05,N,N,N,N,EF-001,EF-003,0,0,0
TA-00142,SP-0035,12.7,0.89,182,8,25.4,N,N,N,N,EF-017,EF-003,0,0,0
TA-00143,SP-0029,38.1,3.05,130,2,76.2,N,N,N,N,EF-012,EF-012,0,0,0
TA-00144,SP-0029,41.28,1.65,83,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0
TA-00145,SP-0039,6.35,0.71,180,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00146,SP-0039,6.35,0.71,184,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00147,SP-0039,6.35,0.71,189,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00148,SP-0039,6.35,0.71,144,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00149,SP-0039,6.35,0.71,144,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00150,SP-0039,6.35,0.71,144,6,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00151,SP-0029,9.52,0.89,93,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00152,SP-0035,19.05,1.24,0,0,0,Y,Y,Y,Y,EF-003,NONE,0,0,0
TA-00153,SP-0029,9.52,1.24,29,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00154,SP-0029,22.22,2.11,0,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00155,SP-0028,9.52,0.89,85,10,31.75,N,N,N,N,NONE,EF-003,0,0,0
TA-00156,SP-0035,6.35,0.89,0,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00157,SP-0029,25.4,2.41,70,5,50.8,N,N,N,Y,EF-003,EF-003,0,0,0
TA-00158,SP-0029,15.88,1.65,217,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00159,SP-0029,25.4,2.41,57,2,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00160,SP-0029,15.88,1.65,238,5,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00161,SP-0029,9.52,1.24,58,3,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00162,SP-0035,12.7,0.89,91,3,19.05,N,N,N,N,NONE,NONE,0,0,0
TA-00163,SP-0035,9.52,0.89,23,2,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00164,SP-0035,12.7,0.89,53,2,25.4,N,N,N,Y,EF-018,EF-018,0,0,0
TA-00165,SP-0028,12.7,0.89,73,1,152.4,N,N,N,N,NONE,NONE,0,1,0
TA-00166,SP-0028,50.8,1.65,94,3,101.6,N,Y,N,N,NONE,NONE,1,0,0
TA-00167,SP-0035,25.4,1.65,189,8,50.8,N,N,N,N,EF-018,EF-018,0,0,0
TA-00168,SP-0029,9.52,0.89,93,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00169,SP-0035,6.35,0.89,41,4,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00170,SP-0029,15.88,1.65,35,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00171,SP-0029,22.22,2.41,58,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00172,SP-0029,22.22,2.41,58,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00173,SP-0029,15.88,1.65,55,3,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00174,SP-0029,25.4,2.41,116,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00175,SP-0035,12.7,1.24,35,3,38.1,N,N,N,N,EF-003,EF-018,0,0,0
TA-00176,SP-0035,12.7,1.24,56,3,38.1,N,N,N,N,EF-003,EF-018,0,0,0
TA-00177,SP-0039,6.35,0.71,45,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00178,SP-0035,15.88,1.65,53,3,50.8,N,N,N,N,EF-018,EF-003,0,0,0
TA-00179,SP-0028,6.35,0.89,23,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00180,SP-0029,9.52,1.24,199,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00181,SP-0029,9.52,0.89,74,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00182,SP-0029,12.7,0.89,55,3,25.4,N,N,N,N,EF-003,EF-003,0,0,0
TA-00183,SP-0029,15.88,1.24,50,4,31.75,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00184,SP-0029,15.88,1.65,131,6,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00185,SP-0029,15.88,1.65,115,4,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00186,SP-0035,6.35,0.89,109,8,12.7,N,N,N,N,EF-018,EF-018,0,0,0
TA-00187,SP-0028,6.35,0.89,40,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00188,SP-0019,6.35,0.71,62,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00189,SP-0019,6.35,0.71,176,8,19.05,N,N,N,N,EF-008,EF-018,0,0,0
TA-00190,SP-0019,6.35,0.71,70,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00191,SP-0019,6.35,0.71,131,7,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00192,SP-0019,6.35,0.71,96,8,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00193,SP-0028,9.52,0.89,85,10,31.75,N,N,N,N,NONE,EF-003,0,0,0
TA-00194,SP-0029,15.88,1.65,183,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00195,SP-0029,15.88,1.65,191,7,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00196,SP-0029,15.88,1.65,153,6,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00197,SP-0029,15.88,1.65,156,6,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00198,SP-0029,12.7,0.89,62,0,0,N,N,N,N,EF-003,EF-003,1,0,0
TA-00199,SP-0035,6.35,0.89,160,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00200,SP-0035,12.7,0.89,53,2,25.4,N,N,N,Y,EF-018,EF-018,0,0,0
TA-00201,SP-0035,25.4,1.65,73,4,50.8,N,N,N,N,EF-018,EF-018,0,0,0
TA-00202,SP-0035,25.4,1.65,139,3,50.8,N,N,N,N,EF-018,EF-018,0,0,0
TA-00203,SP-0029,9.52,1.65,52,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00204,SP-0028,15.88,1.24,65,3,50.8,N,N,N,Y,EF-003,EF-003,0,0,0
TA-00205,SP-0029,25.4,1.65,23,1,50.8,N,N,N,Y,EF-003,EF-003,0,0,0
TA-00206,SP-0035,15.88,1.65,125,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00207,SP-0035,15.88,1.65,187,9,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00208,SP-0035,15.88,1.65,148,7,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00209,SP-0035,12.7,1.65,121,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00210,SP-0035,15.88,1.65,114,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00211,SP-0035,15.88,1.65,91,3,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00212,SP-0035,15.88,1.65,158,6,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00213,SP-0035,15.88,1.65,171,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00214,SP-0035,15.88,1.65,104,5,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00215,SP-0035,12.7,1.65,134,7,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00216,SP-0035,15.88,1.24,28,1,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00217,SP-0029,44.45,3.05,118,2,101.6,N,N,N,N,EF-012,EF-012,0,0,0
TA-00218,SP-0035,6.35,0.89,171,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00219,SP-0035,6.35,0.89,161,8,19.05,N,N,N,N,EF-018,EF-018,0,0,0
TA-00220,SP-0029,12.7,0.89,68,2,31.8,N,N,N,N,EF-001,EF-003,0,0,0
TA-00221,SP-0029,15.88,2.41,23,2,31.75,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00222,SP-0029,9.52,0.89,24,1,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00223,SP-0029,15.88,1.65,31,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00224,SP-0028,9.52,0.89,24,2,31.75,N,N,N,N,EF-003,EF-003,0,0,0
TA-00225,SP-0028,31.75,1.65,25,2,38.1,N,Y,N,Y,EF-009,EF-009,0,0,0
TA-00226,SP-0029,12.7,0.89,52,2,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00227,SP-0029,6.35,0.71,32,3,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00228,SP-0035,12.7,1.65,202,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00229,SP-0028,50.8,1.65,105,3,101.6,N,N,N,Y,NONE,NONE,1,0,1
TA-00230,SP-0035,12.7,1.65,192,8,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00231,SP-0029,25.4,2.41,66,3,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00232,SP-0029,25.4,1.24,205,6,50.8,N,N,N,N,EF-003,EF-003,0,0,0
TA-00233,SP-0029,12.7,1.24,188,10,25.4,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00234,SP-0029,9.52,1.24,21,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00235,SP-0029,12.7,1.24,190,10,25.4,N,Y,N,N,EF-003,EF-003,0,0,0
TA-00236,SP-0029,25.4,2.41,193,3,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00237,SP-0029,15.88,1.65,11,1,38.1,N,N,N,N,EF-003,EF-003,0,0,0
TA-00238,SP-0035,15.88,1.65,99,5,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00239,SP-0035,15.88,1.65,89,4,38.1,N,N,N,N,EF-018,EF-018,0,0,0
TA-00240,SP-0028,25.4,1.65,83,5,50.8,N,N,N,N,EF-003,EF-009,0,0,0
TA-00241,SP-0029,9.52,0.71,124,8,25.4,N,N,N,N,EF-008,EF-015,0,0,0
TA-00242,SP-0029,9.52,0.71,117,7,25.4,N,N,N,N,EF-008,EF-019,0,0,0
TA-00243,SP-0029,9.52,0.71,121,8,25.4,N,N,N,N,EF-008,EF-017,0,0,0
TA-00244,SP-0029,9.52,0.71,113,7,25.4,N,N,N,N,EF-008,EF-017,0,0,0
TA-00245,SP-0028,6.35,0.89,68,7,12.7,N,N,N,N,EF-003,EF-003,0,0,0
TA-00246,SP-0037,6.35,0.89,52,6,12.7,N,N,N,N,EF-003,EF-003,0,0,0
TA-00247,SP-0029,9.52,0.71,81,6,19.05,N,N,N,N,EF-008,EF-019,0,0,0
TA-00248,SP-0029,9.52,1.24,13,2,19.05,N,N,N,N,EF-003,EF-003,0,0,0
TA-00249,SP-0029,25.4,1.65,130,2,63.5,N,N,N,N,EF-003,EF-003,2,0,0
TA-00250,SP-0028,34.92,1.65,15,1,63.56,N,Y,Y,Y,EF-010,EF-003,0,0,0
TA-00251,SP-0035,25.4,1.65,144,3,63.5,N,N,N,N,EF-018,EF-018,0,0,0
TA-00252,SP-0029,31.75,3.05,115,4,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00253,SP-0029,31.75,3.05,115,4,63.5,N,N,N,N,EF-003,EF-003,0,0,0
TA-00254,SP-0035,15.88,1.65,90,2,31.75,N,N,N,N,EF-018,EF-018,0,0,0
TA-00255,SP-0029,88.9,1.65,175,3,152.4,N,N,N,N,EF-009,EF-009,0,0,0
TA-00256,SP-0039,6.35,0.71,89,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00257,SP-0029,25.4,1.65,183,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00258,SP-0029,25.4,1.65,144,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00259,SP-0039,6.35,0.71,168,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00260,SP-0039,6.35,0.71,61,2,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00261,SP-0039,6.35,0.71,168,4,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00262,SP-0039,6.35,0.71,116,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00263,SP-0039,6.35,0.71,111,3,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00264,SP-0039,6.35,0.71,108,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00265,SP-0039,6.35,0.71,105,5,19.05,N,N,N,N,EF-008,EF-008,0,0,0
TA-00266,SP-0028,63.5,1.65,88,3,101.6,N,N,N,Y,EF-017,EF-017,0,0,0
