id,log_feature,volume
13438,feature 80,1
13438,feature 82,6
7851,feature 82,56
7851,feature 80,16
7851,feature 203,5
7851,feature 201,3
16336,feature 82,3
17470,feature 82,4
17470,feature 80,1
17470,feature 203,2
8388,feature 80,2
8388,feature 203,4
8388,feature 82,12
8388,feature 201,2
4141,feature 203,1
4141,feature 82,14
4163,feature 80,4
4163,feature 82,8
13077,feature 82,4
13077,feature 80,4
15343,feature 71,3
15343,feature 203,15
15343,feature 80,1
15343,feature 193,3
15343,feature 82,38
6475,feature 203,28
6475,feature 71,3
6475,feature 193,2
6475,feature 82,40
12214,feature 82,12
12214,feature 80,1
12214,feature 203,4
6623,feature 203,2
6623,feature 82,32
6623,feature 80,2
1551,feature 203,1
1551,feature 80,5
1551,feature 82,21
13260,feature 82,30
13260,feature 203,19
12932,feature 80,2
12932,feature 82,4
4556,feature 82,46
8556,feature 80,1
8556,feature 82,24
8556,feature 203,4
14449,feature 80,3
14449,feature 82,5
14449,feature 201,1
14449,feature 203,3
18376,feature 203,3
18376,feature 82,50
18376,feature 80,1
17745,feature 80,1
17963,feature 82,6
17963,feature 300,1
17963,feature 80,2
17963,feature 386,1
17963,feature 203,2
10014,feature 82,26
10014,feature 201,1
10014,feature 80,5
9879,feature 80,1
9879,feature 82,9
9879,feature 203,3
1718,feature 80,1
1718,feature 203,2
1718,feature 82,11
13376,feature 80,26
13376,feature 201,7
13376,feature 82,2
17645,feature 80,3
17645,feature 201,1
2214,feature 80,1
2214,feature 203,2
2214,feature 82,10
12194,feature 203,2
12194,feature 82,4
12194,feature 80,5
12607,feature 82,12
12607,feature 80,2
12607,feature 203,2
378,feature 82,10
378,feature 203,2
378,feature 201,1
378,feature 80,2
14616,feature 82,7
14616,feature 80,2
14616,feature 203,4
1326,feature 203,8
1326,feature 201,3
1326,feature 82,10
1326,feature 80,3
15085,feature 82,25
15085,feature 203,21
6339,feature 82,36
6339,feature 203,14
4151,feature 82,2
17950,feature 203,8
17950,feature 82,12
17950,feature 201,1
17950,feature 80,2
15427,feature 80,2
200,feature 203,4
200,feature 80,5
200,feature 82,9
18050,feature 80,2
18050,feature 201,1
18050,feature 82,10
3547,feature 201,1
3547,feature 80,2
3547,feature 82,6
3547,feature 203,2
15192,feature 80,5
15192,feature 82,10
13832,feature 80,1
13832,feature 82,12
13832,feature 203,1
2467,feature 201,2
2467,feature 82,34
2467,feature 203,20
2467,feature 80,5
6369,feature 80,2
6369,feature 82,8
6369,feature 203,3
6369,feature 201,1
12887,feature 82,10
12887,feature 201,1
12887,feature 203,4
12887,feature 80,7
8366,feature 80,6
8366,feature 201,5
8366,feature 82,8
8366,feature 203,6
2425,feature 82,2
2425,feature 201,2
2425,feature 183,1
2425,feature 63,1
2425,feature 80,7
8106,feature 82,48
8106,feature 80,4
8106,feature 203,25
8106,feature 201,5
12935,feature 80,3
12935,feature 201,2
12935,feature 82,71
4623,feature 80,4
4623,feature 203,1
4623,feature 201,1
4623,feature 82,21
222,feature 203,2
222,feature 201,1
222,feature 82,4
222,feature 80,3
9059,feature 80,6
15381,feature 203,29
15381,feature 80,4
15381,feature 82,60
13154,feature 80,10
13154,feature 82,48
13154,feature 201,4
665,feature 82,6
665,feature 201,2
665,feature 203,1
665,feature 80,7
10110,feature 201,1
10110,feature 203,34
10110,feature 80,5
10110,feature 82,43
1716,feature 203,3
1716,feature 82,35
1716,feature 80,6
1716,feature 201,1
3951,feature 201,1
3951,feature 80,2
3951,feature 203,1
3951,feature 82,2
17731,feature 80,2
17731,feature 203,7
17731,feature 82,15
16403,feature 82,10
16403,feature 203,6
16403,feature 80,4
8501,feature 82,19
8501,feature 80,5
8501,feature 203,2
15362,feature 82,27
15362,feature 203,4
15362,feature 80,3
9870,feature 201,1
9870,feature 82,6
9870,feature 80,6
9870,feature 203,1
8831,feature 82,57
8831,feature 80,3
5961,feature 80,8
5961,feature 203,6
5961,feature 82,56
9364,feature 82,2
9364,feature 80,2
9364,feature 203,1
18490,feature 82,14
18490,feature 80,3
9088,feature 203,2
9088,feature 201,11
9088,feature 80,58
9088,feature 82,13
2865,feature 73,1
2865,feature 195,2
16514,feature 133,1
18077,feature 132,1
18077,feature 217,1
14,feature 218,2
14,feature 133,2
13453,feature 73,1
12828,feature 195,1
6359,feature 232,1
6359,feature 227,1
6359,feature 312,1
6359,feature 307,1
5881,feature 312,1
5881,feature 232,1
13337,feature 228,2
13337,feature 312,1
13337,feature 308,2
13337,feature 232,1
13337,feature 310,2
13337,feature 230,2
14986,feature 73,10
14986,feature 195,7
12978,feature 73,9
12978,feature 195,6
1553,feature 73,13
1553,feature 109,6
1553,feature 195,8
487,feature 73,35
487,feature 195,29
487,feature 109,3
5559,feature 73,24
5559,feature 195,25
8037,feature 195,3
8037,feature 73,7
5027,feature 109,1
5027,feature 73,19
5027,feature 195,14
15133,feature 195,1
15133,feature 73,3
5068,feature 195,2
5068,feature 73,1
5068,feature 68,1
11826,feature 195,2
11826,feature 73,2
7409,feature 195,3
7409,feature 73,3
13614,feature 42,2
13614,feature 73,1
13614,feature 195,1
13614,feature 157,2
11313,feature 195,1
11313,feature 73,1
8573,feature 195,1
8573,feature 73,2
15618,feature 73,5
15618,feature 195,4
8730,feature 134,1
8730,feature 219,1
2841,feature 195,14
2841,feature 73,11
8263,feature 73,13
8263,feature 195,8
8193,feature 195,5
8193,feature 73,4
5821,feature 195,10
5821,feature 73,9
14864,feature 219,1
14864,feature 195,4
14864,feature 73,2
14864,feature 134,1
7818,feature 73,1
7818,feature 195,2
6636,feature 42,1
6636,feature 73,1
3113,feature 73,1
3113,feature 195,1
15555,feature 195,3
15555,feature 73,8
15974,feature 157,1
13273,feature 195,2
13273,feature 73,4
10465,feature 73,1
1491,feature 42,1
1491,feature 157,1
7546,feature 195,5
7546,feature 73,5
8854,feature 73,2
14462,feature 42,2
14462,feature 73,2
2734,feature 73,5
2734,feature 195,2
6446,feature 195,2
6446,feature 73,6
11239,feature 157,1
11239,feature 195,6
6193,feature 73,1
3765,feature 73,5
12944,feature 195,1
12944,feature 73,4
4302,feature 73,7
16468,feature 73,2
16468,feature 195,1
12624,feature 73,2
17530,feature 195,3
17530,feature 73,6
7503,feature 157,5
7503,feature 73,2
7503,feature 42,5
6457,feature 195,1
6457,feature 73,1
6457,feature 42,1
6457,feature 157,1
16725,feature 42,3
16725,feature 157,3
5029,feature 134,1
5029,feature 219,1
16681,feature 196,2
16681,feature 74,1
11843,feature 196,2
11843,feature 133,1
11843,feature 219,1
11843,feature 74,2
11843,feature 132,1
11843,feature 134,1
6231,feature 74,9
6231,feature 196,9
15803,feature 196,6
15803,feature 132,1
15803,feature 74,6
15803,feature 217,1
13480,feature 74,7
13480,feature 196,7
11928,feature 74,1
8963,feature 74,4
8963,feature 196,4
10844,feature 196,6
10844,feature 74,5
13067,feature 74,6
13067,feature 196,6
9769,feature 74,2
15970,feature 196,2
15970,feature 74,2
6715,feature 74,1
6715,feature 196,1
5206,feature 133,1
16675,feature 74,3
16675,feature 196,3
5468,feature 132,1
5468,feature 217,1
2854,feature 218,1
2854,feature 133,1
8225,feature 196,1
15497,feature 172,1
15497,feature 56,1
10940,feature 134,1
10940,feature 219,1
8120,feature 178,1
8120,feature 68,1
15689,feature 80,5
15689,feature 201,3
5597,feature 201,4
5597,feature 80,4
5597,feature 68,1
4315,feature 80,1
11976,feature 80,2
11976,feature 134,1
11976,feature 201,3
11976,feature 219,1
268,feature 201,1
11609,feature 201,2
15967,feature 273,2
15967,feature 345,1
15967,feature 68,2
15967,feature 179,2
2184,feature 345,1
2184,feature 68,2
2184,feature 170,8
2184,feature 179,2
2184,feature 273,2
2184,feature 222,2
2184,feature 304,2
2184,feature 54,8
17071,feature 306,1
17071,feature 223,1
13185,feature 246,2
13185,feature 170,1
13185,feature 179,6
13185,feature 326,1
13185,feature 68,7
17329,feature 54,2
17329,feature 246,1
17329,feature 170,2
9509,feature 54,2
9509,feature 273,1
9509,feature 170,1
9509,feature 68,1
587,feature 273,2
587,feature 179,5
587,feature 345,2
587,feature 68,7
14586,feature 54,5
14586,feature 170,5
14586,feature 273,3
3967,feature 345,2
3967,feature 68,4
3967,feature 179,2
4941,feature 68,1
4941,feature 170,1
16781,feature 170,3
16781,feature 54,2
16781,feature 273,2
15684,feature 134,1
15684,feature 219,1
525,feature 273,2
525,feature 68,2
525,feature 179,1
17856,feature 54,2
17856,feature 68,2
17856,feature 273,2
6932,feature 273,2
6932,feature 68,3
9787,feature 54,2
9787,feature 87,3
9787,feature 209,5
9787,feature 345,3
9787,feature 273,2
4740,feature 345,3
4740,feature 273,3
4053,feature 170,2
6376,feature 68,1
6376,feature 273,2
6376,feature 170,4
6376,feature 54,4
13330,feature 170,1
13330,feature 273,1
13330,feature 54,1
8036,feature 345,1
8036,feature 273,1
3895,feature 54,2
3895,feature 170,2
333,feature 68,1
333,feature 273,1
16024,feature 170,13
16024,feature 54,13
10696,feature 68,6
10696,feature 54,9
10696,feature 170,13
17505,feature 273,1
17505,feature 179,1
17505,feature 68,1
17505,feature 345,1
4045,feature 54,30
4045,feature 345,7
4045,feature 68,44
18399,feature 170,3
18399,feature 179,4
18399,feature 273,1
18399,feature 345,3
18399,feature 68,4
18399,feature 54,10
11874,feature 179,3
11874,feature 68,3
11874,feature 345,2
11874,feature 273,2
17062,feature 179,2
17062,feature 68,2
17062,feature 345,2
8042,feature 170,6
8042,feature 54,9
11725,feature 54,15
11725,feature 170,10
750,feature 170,6
750,feature 54,6
7315,feature 54,3
7315,feature 170,3
16339,feature 54,4
16339,feature 170,4
2212,feature 54,4
2212,feature 170,3
7545,feature 113,1
7545,feature 54,1
7545,feature 26,1
7545,feature 170,1
7545,feature 209,5
7545,feature 87,6
14767,feature 54,5
14767,feature 170,5
5282,feature 54,6
5282,feature 170,5
12389,feature 54,1
1380,feature 170,2
1380,feature 54,2
10409,feature 219,1
10409,feature 134,1
10658,feature 170,1
6144,feature 170,3
6144,feature 54,1
6144,feature 68,2
10370,feature 170,4
10370,feature 54,6
17852,feature 54,9
17852,feature 170,8
5032,feature 54,1
5032,feature 170,1
5370,feature 54,5
5370,feature 170,3
12273,feature 170,1
12273,feature 54,4
1998,feature 54,10
1998,feature 170,10
17379,feature 54,5
17379,feature 170,1
252,feature 54,2
14875,feature 54,6
14875,feature 170,1
6834,feature 54,3
6834,feature 170,2
9158,feature 54,5
9158,feature 170,6
8694,feature 170,5
8694,feature 54,9
7348,feature 54,7
7348,feature 170,2
12661,feature 54,81
12661,feature 20,1
12661,feature 103,13
12661,feature 170,53
7171,feature 170,16
7171,feature 103,8
7171,feature 54,39
4733,feature 103,16
4733,feature 54,38
4733,feature 170,12
1931,feature 170,13
1931,feature 103,9
1931,feature 54,26
14047,feature 54,3
14047,feature 170,1
611,feature 54,1
611,feature 68,1
611,feature 170,3
9354,feature 54,2
15287,feature 54,1
13403,feature 54,2
13403,feature 170,3
982,feature 54,2
8581,feature 54,1
7504,feature 170,1
7504,feature 54,1
17653,feature 182,1
17653,feature 62,1
2741,feature 182,1
2741,feature 155,10
10977,feature 219,1
10977,feature 134,1
8359,feature 170,2
8359,feature 68,1
8359,feature 54,1
7385,feature 170,5
8467,feature 280,1
8467,feature 54,1
8467,feature 170,1
11740,feature 68,1
9778,feature 170,1
9778,feature 54,1
15626,feature 170,6
15626,feature 54,4
3949,feature 54,1
3663,feature 280,1
17209,feature 54,1
17209,feature 170,2
400,feature 170,2
400,feature 54,3
4861,feature 170,1
805,feature 170,7
805,feature 86,1
805,feature 62,1
805,feature 54,6
805,feature 182,1
805,feature 207,1
11989,feature 170,18
11989,feature 54,25
748,feature 170,10
748,feature 54,11
10508,feature 155,10
10508,feature 207,1
10508,feature 170,2
10508,feature 182,1
5977,feature 170,2
5977,feature 54,2
2090,feature 54,1
5257,feature 54,4
5257,feature 170,4
8159,feature 54,10
8159,feature 170,12
1135,feature 54,6
1135,feature 170,6
6679,feature 87,1
6679,feature 54,3
6679,feature 170,2
6313,feature 54,2
1231,feature 54,2
1231,feature 170,3
1706,feature 280,1
1706,feature 87,1
16741,feature 80,2
4629,feature 71,1
4629,feature 193,2
3491,feature 201,6
3491,feature 80,7
9852,feature 80,4
9852,feature 201,3
10293,feature 80,16
10293,feature 201,10
9596,feature 80,2
9596,feature 201,3
5300,feature 80,18
5300,feature 201,18
15871,feature 80,8
15871,feature 201,6
1566,feature 71,3
1566,feature 193,3
4254,feature 193,1
4254,feature 71,2
4254,feature 201,1
4254,feature 80,1
2652,feature 201,3
2652,feature 80,6
484,feature 71,1
484,feature 80,7
484,feature 201,7
484,feature 193,1
1588,feature 80,2
1588,feature 201,4
10561,feature 80,1
10561,feature 201,2
7174,feature 201,1
7174,feature 80,4
12209,feature 80,3
12209,feature 201,1
17627,feature 193,4
17627,feature 71,3
3701,feature 134,1
3701,feature 219,1
15517,feature 80,3
15517,feature 193,3
15517,feature 201,2
15517,feature 71,3
16136,feature 76,5
16136,feature 198,7
16136,feature 193,6
16136,feature 80,3
16136,feature 71,6
16136,feature 201,3
9720,feature 201,4
9720,feature 80,6
