id,location,fault_severity
10085,location 242,0
13807,location 893,0
11318,location 457,0
533,location 99,0
10538,location 839,1
11549,location 719,0
16900,location 793,0
599,location 1109,0
11700,location 648,0
18331,location 957,0
5381,location 600,2
13638,location 665,0
2703,location 846,0
13686,location 1107,0
6240,location 1052,2
8546,location 1107,0
4578,location 948,0
15870,location 646,0
17084,location 302,0
4114,location 273,0
8011,location 1,0
6588,location 124,0
12490,location 704,2
3975,location 476,0
4720,location 152,0
15209,location 734,0
6092,location 1076,1
9426,location 798,0
2307,location 520,0
13291,location 1046,0
17245,location 803,1
11726,location 963,0
15486,location 821,0
9033,location 1061,2
9959,location 714,0
3798,location 242,0
15624,location 613,1
5995,location 91,0
9644,location 1007,0
10779,location 300,0
9734,location 272,1
14954,location 1106,1
15493,location 611,0
6222,location 724,1
17390,location 173,1
6826,location 943,1
8611,location 821,2
9087,location 795,0
17472,location 733,1
12760,location 249,0
4963,location 704,2
6225,location 821,1
7959,location 802,0
1773,location 957,1
6136,location 408,1
5965,location 723,1
5390,location 255,0
13663,location 655,2
4501,location 888,0
13442,location 704,1
6958,location 989,0
16339,location 1015,0
9372,location 1019,0
5576,location 692,1
663,location 653,0
1473,location 945,1
949,location 651,0
10513,location 1106,0
14289,location 763,1
15260,location 416,0
9812,location 830,0
4916,location 704,2
17515,location 1024,2
17388,location 497,0
4450,location 890,0
16258,location 849,0
10528,location 208,0
4003,location 255,1
3954,location 139,1
13945,location 914,1
15607,location 326,0
11897,location 937,0
12609,location 1086,0
10122,location 506,0
7886,location 149,0
15771,location 846,0
17681,location 865,0
15863,location 925,2
17690,location 798,1
8606,location 243,0
11362,location 193,0
4604,location 723,0
5480,location 471,0
12277,location 1107,2
1400,location 375,0
6687,location 91,0
11153,location 1047,0
8313,location 798,2
5787,location 490,0
741,location 1051,0
16502,location 763,0
4036,location 896,0
5029,location 1011,0
18158,location 834,1
18441,location 118,0
4268,location 97,0
4092,location 1019,0
16819,location 226,0
7774,location 962,2
5824,location 885,0
7295,location 821,1
18146,location 812,0
17409,location 816,2
6095,location 638,0
9032,location 945,0
5210,location 468,0
11177,location 380,0
12324,location 1109,1
1697,location 1122,0
3106,location 1098,1
7824,location 376,0
2588,location 1,0
13644,location 303,0
13082,location 126,0
8150,location 520,0
6234,location 734,0
10350,location 507,0
13538,location 709,0
2338,location 466,0
17947,location 466,0
9786,location 12,0
9514,location 1102,0
13670,location 998,0
15482,location 727,0
12517,location 76,1
411,location 734,1
10237,location 830,0
12734,location 798,0
10863,location 309,0
11390,location 737,0
5260,location 1111,0
8244,location 314,1
4161,location 1023,1
16354,location 658,0
15236,location 477,0
14877,location 990,0
4810,location 445,0
4637,location 618,0
14124,location 758,1
4737,location 488,0
5377,location 643,1
14696,location 834,0
2880,location 607,1
17021,location 141,0
11043,location 497,0
6,location 332,1
2380,location 821,1
6563,location 794,0
2273,location 814,0
1743,location 794,1
12919,location 921,2
7922,location 742,0
8201,location 897,0
13659,location 466,0
2861,location 1107,0
17883,location 744,2
17057,location 122,0
12316,location 240,0
12541,location 691,0
363,location 809,0
4166,location 549,1
8354,location 810,0
9160,location 1089,1
1476,location 266,0
8193,location 1010,1
12708,location 1094,1
13410,location 345,0
12066,location 501,0
8570,location 939,0
4204,location 957,0
18290,location 373,0
11441,location 684,2
17975,location 1094,1
11262,location 821,0
3768,location 823,0
11418,location 244,0
13813,location 857,1
1665,location 846,1
4170,location 1065,0
12798,location 1008,0
681,location 1099,0
319,location 1099,0
17956,location 300,0
429,location 793,0
6663,location 906,1
10586,location 404,1
8583,location 1117,0
8030,location 461,0
5099,location 95,0
446,location 1056,1
5725,location 995,1
15436,location 893,0
6758,location 500,0
6449,location 122,0
4552,location 613,1
17865,location 846,0
1645,location 653,1
1308,location 100,0
8781,location 311,1
831,location 126,0
15145,location 1107,0
17654,location 477,0
603,location 507,0
5962,location 390,0
11520,location 756,0
10341,location 90,0
5070,location 684,0
1197,location 479,0
6187,location 734,1
733,location 1106,0
2242,location 124,0
479,location 1025,0
12362,location 473,0
14596,location 314,0
6801,location 1107,1
4896,location 249,1
3287,location 613,1
8377,location 161,1
14233,location 1029,0
5065,location 711,0
6233,location 375,0
4160,location 97,0
16840,location 244,0
18192,location 1054,0
7711,location 974,0
7254,location 810,1
3214,location 734,0
14597,location 1115,1
15086,location 867,2
8686,location 326,0
16989,location 931,2
420,location 686,0
16891,location 242,0
8046,location 899,1
7484,location 202,0
14880,location 923,0
16049,location 894,0
227,location 771,0
1387,location 95,0
12011,location 485,0
6123,location 974,0
8935,location 919,0
2865,location 1009,0
17241,location 814,0
5237,location 973,0
3185,location 120,1
4691,location 504,0
8423,location 500,0
17894,location 1058,0
14642,location 497,0
5292,location 471,0
3670,location 1084,1
7301,location 846,1
2105,location 234,0
1954,location 418,0
7699,location 875,0
15680,location 821,1
16960,location 490,0
2476,location 107,0
4646,location 126,0
4826,location 122,0
14595,location 1,1
12970,location 618,1
9353,location 95,0
17222,location 491,0
10057,location 500,0
12864,location 921,2
16999,location 878,0
2692,location 444,0
14976,location 963,0
6847,location 240,1
15784,location 599,0
8439,location 303,1
7067,location 684,0
18113,location 155,1
17415,location 717,0
12978,location 1010,0
5459,location 878,0
10742,location 991,1
497,location 253,0
6646,location 1058,0
12958,location 1042,0
5394,location 35,0
12610,location 648,1
5926,location 465,0
9713,location 499,0
7364,location 597,0
5311,location 836,0
13337,location 101,0
11149,location 476,0
6938,location 864,1
14109,location 808,0
16926,location 91,0
5219,location 157,0
14939,location 845,1
6492,location 695,0
4107,location 707,0
506,location 756,0
2435,location 738,1
12376,location 734,1
135,location 878,0
9605,location 244,0
13872,location 1084,0
15057,location 1008,0
11020,location 661,1
3536,location 1063,0
14249,location 821,2
3979,location 95,0
8293,location 407,0
2987,location 126,0
2361,location 821,2
11595,location 984,2
15473,location 641,0
8927,location 468,0
7128,location 1052,1
5580,location 644,0
2302,location 644,0
3332,location 468,0
15011,location 826,1
3262,location 763,0
8459,location 1107,0
3303,location 794,0
7207,location 124,0
2560,location 478,0
5935,location 504,0
17817,location 116,0
6081,location 704,0
1244,location 276,1
784,location 445,0
5703,location 846,2
4848,location 1,0
5634,location 1075,1
16696,location 793,0
12619,location 326,0
15671,location 252,1
12676,location 519,0
18093,location 1083,1
11855,location 972,1
1456,location 1048,0
17460,location 1100,1
12099,location 957,0
274,location 244,0
105,location 376,1
13301,location 1046,0
12782,location 821,2
8928,location 324,0
11604,location 847,0
16445,location 709,0
16694,location 810,1
646,location 484,0
11171,location 894,0
18228,location 684,2
1104,location 760,1
16966,location 230,0
16874,location 1099,0
18127,location 943,1
1205,location 242,0
3172,location 122,0
18535,location 133,0
8729,location 734,1
3384,location 9,0
7640,location 998,0
7007,location 1049,0
11469,location 229,0
16837,location 1065,1
17237,location 878,0
19,location 644,1
14290,location 249,0
6761,location 321,0
15850,location 100,0
16249,location 126,0
11170,location 322,0
9380,location 618,1
1790,location 148,0
14735,location 1075,2
14241,location 57,1
5689,location 91,0
14799,location 462,1
15037,location 790,0
17745,location 1008,1
874,location 1100,2
11724,location 707,0
12109,location 662,0
2589,location 679,1
1619,location 533,0
9224,location 658,0
6197,location 1117,0
6643,location 51,1
14544,location 1125,1
14337,location 1109,0
16159,location 135,0
12623,location 297,0
11193,location 897,1
10700,location 498,0
1264,location 808,0
18386,location 526,0
5364,location 504,0
16123,location 603,0
6111,location 599,1
7607,location 810,2
14830,location 619,1
12961,location 1061,2
16230,location 9,0
8174,location 760,1
15369,location 1052,0
4558,location 122,0
12259,location 707,0
14532,location 805,0
6004,location 124,0
12646,location 380,0
8685,location 159,0
11183,location 477,0
8953,location 108,1
17491,location 691,0
13130,location 496,0
14740,location 814,0
532,location 1090,0
13907,location 765,1
18363,location 609,1
10422,location 584,0
6041,location 600,0
8590,location 897,2
17319,location 455,0
14844,location 790,1
6719,location 845,2
417,location 856,1
16552,location 1093,1
2145,location 466,0
13169,location 154,0
15657,location 102,0
17361,location 507,0
17844,location 242,0
16368,location 126,0
4652,location 810,0
4238,location 931,0
7490,location 834,2
8847,location 962,0
11995,location 896,0
7139,location 493,0
6002,location 477,0
14402,location 830,0
14409,location 793,0
1098,location 891,0
12774,location 278,1
5249,location 704,2
1382,location 1019,2
15226,location 130,1
94,location 1111,2
9591,location 398,0
11886,location 754,0
1621,location 1020,1
810,location 1025,0
8536,location 161,1
3169,location 300,1
6788,location 926,2
3111,location 681,0
4080,location 62,1
18193,location 442,1
16218,location 807,1
4246,location 282,0
14125,location 699,0
821,location 1008,1
13006,location 337,0
18173,location 822,0
11276,location 962,0
10371,location 496,0
9261,location 495,0
18297,location 1061,0
912,location 1090,1
7579,location 1050,1
10263,location 236,1
18391,location 810,0
16015,location 823,1
17938,location 122,0
2894,location 934,0
6648,location 1008,0
11137,location 603,2
17054,location 149,0
6495,location 984,0
10070,location 126,0
11029,location 1054,1
16043,location 495,0
12529,location 534,0
9536,location 420,1
5281,location 645,0
14815,location 13,0
11651,location 102,1
6697,location 700,0
488,location 400,0
9228,location 760,1
6298,location 600,2
12674,location 128,0
18262,location 278,0
3569,location 983,1
17870,location 473,0
2074,location 507,0
16700,location 821,2
8286,location 375,1
6739,location 691,0
13417,location 613,0
12365,location 682,0
6966,location 918,1
6572,location 1048,0
8558,location 834,0
11860,location 468,0
15193,location 964,0
17502,location 1024,0
13120,location 288,0
17275,location 175,1
16879,location 695,0
18392,location 418,1
11333,location 328,0
16107,location 808,0
2054,location 147,0
6395,location 100,0
14049,location 500,0
10894,location 128,0
6591,location 1065,1
11403,location 976,0
18213,location 849,0
1691,location 518,0
13032,location 879,0
13322,location 1076,0
1974,location 1037,0
8387,location 328,0
9942,location 255,0
9577,location 957,0
5904,location 135,0
7456,location 262,0
14265,location 945,0
17219,location 476,0
1086,location 1093,0
17788,location 296,0
5336,location 498,0
1314,location 810,0
7208,location 845,0
10998,location 9,0
2143,location 794,0
1164,location 794,2
6471,location 894,2
9099,location 798,0
13296,location 999,1
978,location 802,1
3645,location 243,0
4802,location 296,1
10027,location 684,1
1022,location 767,2
11848,location 892,0
15419,location 278,0
3058,location 240,0
7001,location 600,2
8160,location 721,0
14414,location 1086,2
8415,location 546,1
12471,location 171,0
11077,location 281,0
7847,location 931,0
6851,location 126,0
4852,location 1099,0
3982,location 116,0
8727,location 885,0
10683,location 484,0
9412,location 404,1
6288,location 999,1
18012,location 584,0
6261,location 477,0
8481,location 1103,1
7926,location 469,0
8789,location 1052,2
2542,location 984,1
3571,location 821,1
5602,location 707,0
570,location 1089,0
18452,location 457,0
10478,location 1119,2
9793,location 344,0
7516,location 276,1
15506,location 686,0
4969,location 1117,0
11738,location 1107,1
9037,location 473,0
2180,location 12,1
4831,location 876,0
4524,location 810,0
897,location 373,0
11590,location 635,0
16275,location 613,2
6421,location 834,0
12977,location 91,0
10389,location 124,0
716,location 895,2
3821,location 643,0
9584,location 500,0
18110,location 644,2
2184,location 1014,0
4253,location 1104,0
149,location 504,0
18163,location 480,0
17847,location 122,0
14558,location 1107,1
16573,location 733,0
18039,location 691,1
1428,location 921,1
13919,location 1083,0
5775,location 763,1
12068,location 899,0
2596,location 244,0
15036,location 895,0
13999,location 846,0
3182,location 157,0
18498,location 892,0
2860,location 798,1
6724,location 707,0
5413,location 845,2
1716,location 1008,1
1699,location 498,0
7576,location 627,0
14634,location 145,1
11523,location 298,0
18341,location 498,0
16010,location 891,0
12862,location 1052,1
1492,location 755,0
12573,location 805,0
9422,location 126,0
9444,location 846,0
1646,location 1111,0
1447,location 642,1
14855,location 363,0
8602,location 497,0
6700,location 480,0
9205,location 714,0
8176,location 809,0
8376,location 496,0
12353,location 1042,0
14661,location 1019,0
14212,location 1089,2
6694,location 995,1
385,location 1107,1
13113,location 803,0
7670,location 504,0
10675,location 798,2
2221,location 1061,0
7758,location 704,1
11979,location 120,0
1217,location 451,0
16468,location 1010,0
6061,location 638,0
17735,location 846,1
18275,location 380,0
16407,location 584,0
4042,location 476,0
501,location 157,0
9005,location 471,0
4972,location 120,0
8107,location 488,0
13101,location 400,0
14400,location 735,0
11777,location 244,0
9951,location 805,0
7844,location 800,0
10539,location 809,0
11882,location 240,0
16092,location 734,0
2662,location 149,0
11023,location 902,0
4527,location 500,0
1051,location 480,0
14751,location 478,0
9096,location 968,0
14820,location 812,1
15604,location 944,0
13892,location 505,0
2186,location 480,0
9817,location 497,0
15340,location 709,0
15877,location 26,1
2277,location 836,0
15816,location 477,0
11167,location 343,0
4175,location 684,1
15765,location 466,0
3401,location 893,1
1981,location 600,1
15993,location 885,0
5907,location 638,0
18031,location 369,0
4028,location 484,0
6891,location 1063,0
18227,location 126,0
7951,location 1031,1
12022,location 643,1
12753,location 124,0
12320,location 903,0
5386,location 459,0
14658,location 276,0
622,location 856,1
6988,location 408,1
5537,location 1109,1
17106,location 181,0
13793,location 846,2
193,location 979,0
6059,location 335,1
4272,location 115,0
15383,location 846,1
4934,location 931,0
3646,location 175,1
14240,location 983,1
15303,location 810,0
8487,location 721,1
295,location 1050,1
5259,location 1,0
2118,location 379,0
18539,location 147,0
157,location 1072,0
12651,location 1030,1
900,location 819,1
3681,location 157,0
13970,location 845,2
7779,location 763,2
13880,location 618,1
14425,location 1038,1
11781,location 1044,0
7286,location 837,1
10427,location 229,1
4303,location 477,0
15913,location 1096,0
616,location 885,1
17051,location 964,0
10167,location 373,0
3566,location 518,0
10457,location 49,0
11166,location 848,0
8099,location 242,0
16791,location 744,1
665,location 1008,1
11816,location 829,0
855,location 1019,2
11078,location 894,0
15359,location 1034,2
13401,location 1049,0
8017,location 609,0
491,location 808,0
7900,location 477,0
3968,location 665,0
18111,location 963,0
9877,location 819,0
9134,location 805,0
15523,location 445,0
7902,location 891,0
1864,location 1107,2
8032,location 734,2
4756,location 745,2
4176,location 206,0
11482,location 930,0
16543,location 446,0
5903,location 344,0
1228,location 91,1
1533,location 475,0
15606,location 644,1
11776,location 1023,1
1430,location 807,0
5299,location 467,0
9479,location 118,0
14690,location 408,0
3364,location 13,1
9065,location 9,0
13823,location 1022,0
5229,location 496,0
9102,location 292,1
9908,location 1117,0
15274,location 962,1
15710,location 684,2
15801,location 1008,2
12900,location 476,0
10326,location 707,0
7841,location 690,0
16283,location 704,0
917,location 448,1
11861,location 803,1
17029,location 640,0
17343,location 1107,2
14267,location 864,1
13102,location 460,0
6991,location 794,0
3952,location 1,1
11868,location 46,0
11058,location 1066,0
16359,location 899,0
16972,location 845,1
12255,location 938,1
18005,location 1042,0
2237,location 135,0
13926,location 653,1
5337,location 1,0
18010,location 601,1
9630,location 884,0
8680,location 1042,0
17306,location 159,1
4165,location 1050,1
11355,location 892,0
5201,location 242,0
1702,location 810,1
7657,location 1118,0
12464,location 466,0
8784,location 793,0
9469,location 793,0
5505,location 307,0
14461,location 684,0
7649,location 253,0
10954,location 942,0
8856,location 609,1
1085,location 497,0
14363,location 122,0
6625,location 489,0
8806,location 962,2
10642,location 600,2
6787,location 171,0
17832,location 509,0
5406,location 793,0
6130,location 495,0
742,location 1107,0
10531,location 755,0
3806,location 128,0
8367,location 863,1
541,location 488,0
5058,location 738,1
14133,location 173,0
4980,location 311,0
1632,location 441,1
16847,location 932,0
500,location 280,0
16045,location 88,0
18076,location 1000,0
6832,location 931,1
12891,location 938,0
640,location 744,0
10946,location 507,0
11820,location 895,1
15119,location 159,1
10451,location 333,0
10131,location 471,0
8041,location 155,0
6892,location 821,0
8794,location 229,0
16213,location 466,0
7130,location 816,0
13070,location 846,2
10153,location 270,0
3101,location 244,0
5075,location 782,0
3736,location 712,0
16064,location 1008,2
12893,location 1061,1
5899,location 808,0
3195,location 816,1
8422,location 1120,1
4223,location 509,0
9263,location 600,1
4833,location 107,1
7284,location 763,2
13689,location 1103,1
1574,location 1008,0
8987,location 607,0
15944,location 373,0
9441,location 102,1
16147,location 946,0
3994,location 976,2
777,location 1023,1
13142,location 466,0
10146,location 1072,0
9583,location 126,0
3629,location 1005,0
9081,location 845,1
9611,location 1042,1
984,location 445,0
8344,location 301,0
11252,location 600,0
10282,location 445,0
10561,location 1018,0
6715,location 1011,1
11753,location 661,1
2432,location 923,0
15157,location 1049,2
2627,location 118,0
843,location 895,2
1675,location 91,0
15140,location 957,0
7874,location 126,0
415,location 903,1
4435,location 558,1
7798,location 618,1
16494,location 707,0
8263,location 1010,1
8523,location 742,0
1793,location 1107,2
15593,location 899,1
5545,location 1007,0
5889,location 794,0
15923,location 507,0
2576,location 1038,1
14879,location 326,1
9148,location 903,0
3512,location 145,0
12789,location 1049,0
3941,location 409,1
11052,location 342,0
7720,location 991,2
15625,location 375,1
33,location 473,0
17490,location 584,0
14456,location 808,0
2452,location 116,1
7338,location 1089,1
17440,location 102,0
12038,location 349,0
7179,location 1058,1
10343,location 91,0
49,location 484,0
8163,location 821,2
16950,location 495,0
12761,location 1052,2
5123,location 344,1
14988,location 470,0
10620,location 244,0
6975,location 653,2
9604,location 462,0
3921,location 771,2
16832,location 821,2
17837,location 466,0
11872,location 974,1
14522,location 358,1
13015,location 951,0
9520,location 1046,1
4749,location 309,1
9675,location 653,1
8071,location 133,1
9519,location 931,1
721,location 798,0
1653,location 899,0
13560,location 810,2
12921,location 342,1
2715,location 68,1
5183,location 596,1
1239,location 244,0
17297,location 415,1
10115,location 601,1
11846,location 976,1
10501,location 1052,0
12772,location 466,0
2067,location 1018,0
11585,location 44,0
13940,location 653,2
7131,location 446,0
12352,location 1078,0
3236,location 809,0
13240,location 495,0
581,location 1007,0
6581,location 1019,0
6219,location 674,2
11757,location 673,1
8852,location 774,0
5179,location 846,1
1105,location 467,0
12535,location 1042,1
17546,location 276,0
13201,location 242,0
15848,location 834,0
11224,location 823,0
12147,location 943,0
10776,location 407,1
2363,location 891,0
8994,location 459,0
13847,location 378,0
17436,location 798,2
2541,location 1103,0
1152,location 891,0
17914,location 446,1
2397,location 104,0
10648,location 380,0
8275,location 936,1
7916,location 1106,1
3495,location 979,1
14895,location 794,1
9137,location 704,0
9606,location 252,1
7196,location 723,0
6319,location 584,0
11431,location 34,0
3166,location 839,1
6740,location 707,0
16904,location 846,1
6198,location 655,1
1406,location 735,0
3528,location 879,0
11571,location 463,0
17811,location 1100,1
1658,location 126,0
10400,location 849,0
11824,location 613,0
6831,location 699,0
10938,location 830,0
2440,location 1075,2
13393,location 856,1
16144,location 818,1
9621,location 375,0
3141,location 755,0
13593,location 786,0
15446,location 495,0
8100,location 91,0
8694,location 1015,1
7151,location 834,0
4496,location 693,1
8408,location 790,0
15952,location 1,1
15580,location 798,2
6221,location 909,2
4642,location 793,0
14545,location 465,0
9587,location 967,1
7919,location 724,1
13384,location 139,1
3053,location 793,0
472,location 122,0
811,location 314,0
17966,location 795,0
9770,location 696,0
11806,location 479,0
7108,location 1083,2
16491,location 821,2
8922,location 515,0
14724,location 684,1
7820,location 794,0
13196,location 151,1
1381,location 695,1
17200,location 471,0
914,location 714,1
5891,location 839,0
14452,location 484,0
4493,location 821,0
1822,location 1052,1
4097,location 51,0
3815,location 995,2
14397,location 122,0
262,location 994,0
10185,location 1052,2
2464,location 7,0
2725,location 460,1
10474,location 481,0
9198,location 653,2
13354,location 1008,2
12226,location 7,0
12496,location 707,0
2718,location 476,0
4301,location 467,0
11134,location 1083,0
17653,location 1016,1
11079,location 518,0
8096,location 8,0
4721,location 742,0
6069,location 373,0
15313,location 466,0
18179,location 627,0
10587,location 256,0
660,location 124,0
16476,location 881,0
6013,location 126,0
3072,location 118,0
18215,location 931,0
9294,location 140,0
12430,location 267,0
412,location 1080,1
5809,location 124,0
8808,location 495,0
4576,location 477,0
7344,location 424,0
3965,location 91,0
12984,location 942,0
6890,location 844,1
10645,location 710,0
8309,location 1104,0
17659,location 1031,0
836,location 128,0
11692,location 628,0
14575,location 768,0
11586,location 1050,1
9052,location 1100,0
2932,location 957,1
14215,location 692,0
18536,location 821,0
14795,location 469,0
12215,location 122,0
8179,location 839,0
12194,location 1008,0
12186,location 1093,0
11594,location 479,0
3346,location 277,0
18155,location 124,0
12908,location 444,0
4960,location 821,0
12046,location 627,0
2832,location 1061,2
6907,location 325,0
14713,location 155,0
12087,location 1100,2
10809,location 893,0
6754,location 696,0
14182,location 1104,0
13742,location 977,1
7178,location 485,0
2139,location 505,0
7278,location 519,0
10398,location 124,0
9681,location 943,0
12284,location 1031,1
15001,location 1042,2
14164,location 507,0
17405,location 707,0
9927,location 288,1
439,location 842,0
2731,location 845,0
9501,location 1024,0
14206,location 931,1
5196,location 1107,0
18448,location 9,0
2817,location 600,0
13615,location 1084,1
11194,location 1032,1
7848,location 390,1
15143,location 124,0
12912,location 491,0
2241,location 470,0
7740,location 821,1
7828,location 684,1
17080,location 839,0
6054,location 653,2
8112,location 122,0
14561,location 468,0
16244,location 793,0
794,location 646,0
4913,location 380,0
15706,location 691,0
17636,location 834,2
2866,location 931,2
2282,location 704,2
15141,location 919,1
225,location 839,0
14540,location 1026,1
14948,location 1067,1
14715,location 838,0
2852,location 760,0
6747,location 1019,0
12050,location 860,0
10005,location 802,0
841,location 949,1
3785,location 963,0
275,location 704,2
16392,location 239,0
8681,location 375,0
9687,location 469,0
13803,location 1117,0
343,location 375,0
13743,location 878,0
9845,location 613,2
4076,location 790,0
656,location 481,0
6147,location 897,1
12267,location 957,0
1262,location 902,1
7268,location 821,1
15161,location 1095,0
11400,location 827,1
4236,location 885,0
15730,location 1078,0
5112,location 704,2
9363,location 1034,0
7290,location 600,0
13660,location 638,0
2409,location 912,1
18440,location 603,1
13239,location 1030,0
12291,location 664,0
14858,location 756,1
7330,location 485,0
17362,location 851,0
1210,location 448,0
2878,location 373,0
4152,location 1107,0
2622,location 137,0
9462,location 914,2
15985,location 460,1
11376,location 477,0
6567,location 763,0
13097,location 445,0
16084,location 573,0
3456,location 924,2
4221,location 126,0
15977,location 866,2
958,location 313,0
5405,location 469,0
3913,location 123,0
16379,location 468,0
13728,location 821,0
13641,location 790,0
8262,location 519,0
615,location 445,1
6640,location 667,0
15214,location 919,0
377,location 735,0
9192,location 441,0
15390,location 242,0
2068,location 735,0
1482,location 22,0
14888,location 465,0
17378,location 532,0
14406,location 661,0
11336,location 135,0
3201,location 102,0
715,location 445,0
1582,location 476,0
18117,location 706,0
4566,location 794,0
1044,location 744,0
4227,location 382,1
3092,location 381,0
1762,location 1053,1
9289,location 742,0
2099,location 897,0
7603,location 477,0
13147,location 7,0
16953,location 242,0
15346,location 891,0
971,location 485,0
9580,location 856,1
5564,location 891,0
2082,location 1099,2
2197,location 916,0
6390,location 763,0
1211,location 83,1
12069,location 243,0
4933,location 704,0
9774,location 704,1
1126,location 1019,0
5419,location 116,0
9953,location 465,0
2723,location 67,1
9234,location 818,1
13564,location 135,0
12336,location 653,0
6067,location 627,0
5702,location 938,1
9312,location 326,0
11037,location 1008,2
16609,location 122,0
2458,location 1100,1
8762,location 1086,0
9494,location 253,1
11718,location 976,2
11730,location 976,1
16316,location 283,0
3000,location 921,1
17130,location 972,1
3341,location 1107,0
16464,location 520,0
6595,location 803,1
15941,location 124,0
8832,location 886,1
10404,location 821,0
961,location 925,0
11042,location 899,0
2117,location 963,0
10829,location 1045,0
16807,location 20,1
6440,location 1052,1
3345,location 249,0
3131,location 505,0
14108,location 1050,0
7970,location 1079,0
10516,location 1007,1
6074,location 1075,2
5949,location 624,0
17196,location 919,0
9525,location 298,1
12612,location 108,1
10892,location 853,0
9792,location 962,2
789,location 810,2
702,location 976,0
9626,location 1063,0
13971,location 126,0
15875,location 424,1
12506,location 619,0
11813,location 518,0
11084,location 262,0
2827,location 300,0
10693,location 240,0
3988,location 1038,1
4423,location 767,1
18482,location 1050,0
11298,location 984,0
8714,location 118,0
10755,location 722,1
4125,location 242,0
9722,location 1019,1
5954,location 1044,0
2784,location 895,2
6885,location 535,2
17139,location 893,0
12537,location 1042,0
7676,location 995,2
8026,location 509,0
3042,location 305,0
3831,location 374,0
1839,location 9,0
3946,location 976,2
1892,location 309,0
12675,location 1107,1
4856,location 820,1
10957,location 836,0
3919,location 814,0
15479,location 893,0
17701,location 803,1
18232,location 380,0
242,location 1031,0
17890,location 83,1
10426,location 563,0
14682,location 627,0
10844,location 1011,1
3199,location 1117,0
2734,location 1010,0
10658,location 1015,0
11696,location 744,2
10379,location 126,0
9906,location 560,1
18220,location 1008,0
4034,location 507,0
6652,location 385,1
4936,location 794,0
12533,location 373,0
636,location 102,1
9897,location 500,0
5061,location 251,0
580,location 89,1
16677,location 878,0
3396,location 895,1
3823,location 734,0
12097,location 812,0
12073,location 469,0
18355,location 169,0
11637,location 479,0
9907,location 1008,0
3339,location 723,0
11328,location 734,2
1768,location 943,1
8259,location 943,1
17633,location 684,2
17315,location 288,0
1072,location 1086,2
14996,location 763,2
13779,location 441,0
17142,location 475,0
57,location 1075,1
6083,location 893,0
10715,location 902,1
2535,location 805,0
16521,location 810,1
11330,location 1036,0
5214,location 745,2
13623,location 206,0
12745,location 821,1
8609,location 270,1
12657,location 653,0
11359,location 114,1
2648,location 834,1
15831,location 834,0
6686,location 56,0
2335,location 147,0
5976,location 962,0
5888,location 450,0
266,location 879,0
11791,location 638,2
7119,location 72,1
16814,location 738,1
8234,location 1019,1
11790,location 1019,0
4394,location 839,1
89,location 253,0
13989,location 507,0
10703,location 955,0
3133,location 646,0
16433,location 931,1
5458,location 534,0
7483,location 889,0
9992,location 756,0
2557,location 998,0
2284,location 795,0
2943,location 760,0
13499,location 810,1
5522,location 899,1
16408,location 471,0
2631,location 470,0
2787,location 1042,1
