id,severity_type
1288,severity_type 1
16595,severity_type 1
18413,severity_type 1
9859,severity_type 1
2578,severity_type 1
1204,severity_type 1
4497,severity_type 1
37,severity_type 1
3629,severity_type 1
16795,severity_type 2
16106,severity_type 1
8185,severity_type 1
8235,severity_type 1
14315,severity_type 1
17756,severity_type 1
14562,severity_type 1
8930,severity_type 1
11231,severity_type 1
17812,severity_type 2
3112,severity_type 2
6253,severity_type 2
187,severity_type 1
10816,severity_type 1
2008,severity_type 1
10445,severity_type 1
258,severity_type 1
15834,severity_type 2
12334,severity_type 1
9644,severity_type 1
14743,severity_type 1
6208,severity_type 1
6802,severity_type 2
14860,severity_type 1
14899,severity_type 1
581,severity_type 2
10985,severity_type 2
11010,severity_type 1
722,severity_type 1
1747,severity_type 1
1349,severity_type 2
11444,severity_type 1
16517,severity_type 1
16202,severity_type 1
12511,severity_type 1
15171,severity_type 1
3879,severity_type 1
1863,severity_type 1
5142,severity_type 1
6796,severity_type 1
13838,severity_type 1
10913,severity_type 1
6880,severity_type 1
685,severity_type 1
10680,severity_type 1
13845,severity_type 1
17736,severity_type 2
10319,severity_type 2
10970,severity_type 1
13652,severity_type 2
10161,severity_type 1
725,severity_type 1
5074,severity_type 2
5924,severity_type 1
10516,severity_type 1
6883,severity_type 1
5545,severity_type 1
14433,severity_type 1
18058,severity_type 2
5834,severity_type 1
4630,severity_type 2
17414,severity_type 2
6244,severity_type 1
3158,severity_type 2
16320,severity_type 2
3465,severity_type 2
13490,severity_type 2
4628,severity_type 2
4029,severity_type 2
15057,severity_type 2
13522,severity_type 2
5254,severity_type 1
14991,severity_type 1
2810,severity_type 2
5025,severity_type 2
14112,severity_type 2
5352,severity_type 1
7049,severity_type 1
17758,severity_type 2
11766,severity_type 1
1574,severity_type 1
7237,severity_type 1
10902,severity_type 1
9016,severity_type 2
13955,severity_type 1
11005,severity_type 1
16584,severity_type 1
8277,severity_type 2
15081,severity_type 1
18220,severity_type 1
4595,severity_type 2
1666,severity_type 2
7585,severity_type 2
4309,severity_type 2
16809,severity_type 2
2385,severity_type 1
16139,severity_type 1
7077,severity_type 2
11828,severity_type 1
2774,severity_type 2
11037,severity_type 2
11464,severity_type 1
15801,severity_type 1
12847,severity_type 2
4002,severity_type 1
11100,severity_type 2
10511,severity_type 2
14706,severity_type 1
462,severity_type 1
7885,severity_type 2
12276,severity_type 2
10402,severity_type 1
3412,severity_type 2
6860,severity_type 2
11114,severity_type 2
9907,severity_type 2
4121,severity_type 2
10493,severity_type 1
11770,severity_type 1
965,severity_type 1
18004,severity_type 2
5928,severity_type 1
7405,severity_type 1
6803,severity_type 2
8764,severity_type 2
7925,severity_type 1
12798,severity_type 2
11394,severity_type 2
17869,severity_type 2
10129,severity_type 2
13354,severity_type 2
16917,severity_type 2
17425,severity_type 1
18486,severity_type 1
6909,severity_type 2
12026,severity_type 2
16064,severity_type 2
11119,severity_type 2
8378,severity_type 1
894,severity_type 2
6648,severity_type 2
372,severity_type 1
17066,severity_type 2
821,severity_type 2
608,severity_type 2
4535,severity_type 2
4640,severity_type 2
18296,severity_type 2
6904,severity_type 2
5059,severity_type 2
15102,severity_type 2
11286,severity_type 2
13438,severity_type 1
7851,severity_type 2
16336,severity_type 2
17470,severity_type 2
8388,severity_type 2
4141,severity_type 2
4163,severity_type 2
13077,severity_type 2
15343,severity_type 2
6475,severity_type 1
12214,severity_type 2
6623,severity_type 2
1551,severity_type 2
13260,severity_type 2
12932,severity_type 2
4556,severity_type 2
8556,severity_type 2
14449,severity_type 2
18376,severity_type 2
17745,severity_type 2
17963,severity_type 2
10014,severity_type 2
9879,severity_type 2
1718,severity_type 2
13376,severity_type 1
17645,severity_type 2
2214,severity_type 2
12194,severity_type 2
12607,severity_type 2
378,severity_type 2
14616,severity_type 2
1326,severity_type 2
15085,severity_type 2
6339,severity_type 2
4151,severity_type 2
17950,severity_type 2
15427,severity_type 2
200,severity_type 2
18050,severity_type 2
3547,severity_type 2
15192,severity_type 2
13832,severity_type 2
2467,severity_type 2
6369,severity_type 2
12887,severity_type 1
8366,severity_type 2
2425,severity_type 1
8106,severity_type 1
12935,severity_type 2
4623,severity_type 2
222,severity_type 2
9059,severity_type 2
15381,severity_type 2
13154,severity_type 1
665,severity_type 2
10110,severity_type 2
1716,severity_type 2
3951,severity_type 2
17731,severity_type 2
16403,severity_type 2
8501,severity_type 2
15362,severity_type 2
9870,severity_type 2
8831,severity_type 2
5961,severity_type 2
9364,severity_type 2
18490,severity_type 2
9088,severity_type 1
2865,severity_type 1
16514,severity_type 5
18077,severity_type 1
14,severity_type 5
13453,severity_type 1
12828,severity_type 1
6359,severity_type 2
5881,severity_type 2
13337,severity_type 2
14986,severity_type 2
12978,severity_type 1
1553,severity_type 1
487,severity_type 1
5559,severity_type 1
8037,severity_type 1
5027,severity_type 1
15133,severity_type 1
5068,severity_type 1
11826,severity_type 1
7409,severity_type 1
13614,severity_type 1
11313,severity_type 1
8573,severity_type 1
15618,severity_type 1
8730,severity_type 1
2841,severity_type 1
8263,severity_type 2
8193,severity_type 1
5821,severity_type 1
14864,severity_type 1
7818,severity_type 1
6636,severity_type 1
3113,severity_type 2
15555,severity_type 2
15974,severity_type 1
13273,severity_type 2
10465,severity_type 1
1491,severity_type 1
7546,severity_type 1
8854,severity_type 1
14462,severity_type 1
2734,severity_type 1
6446,severity_type 1
11239,severity_type 1
6193,severity_type 2
3765,severity_type 2
12944,severity_type 2
4302,severity_type 2
16468,severity_type 2
12624,severity_type 2
17530,severity_type 1
7503,severity_type 1
6457,severity_type 1
16725,severity_type 1
5029,severity_type 1
16681,severity_type 1
11843,severity_type 1
6231,severity_type 1
15803,severity_type 1
13480,severity_type 1
11928,severity_type 1
8963,severity_type 1
10844,severity_type 1
13067,severity_type 1
9769,severity_type 1
15970,severity_type 1
6715,severity_type 1
5206,severity_type 5
16675,severity_type 1
5468,severity_type 1
2854,severity_type 5
8225,severity_type 1
15497,severity_type 2
10940,severity_type 1
8120,severity_type 2
15689,severity_type 1
5597,severity_type 1
4315,severity_type 2
11976,severity_type 1
268,severity_type 1
11609,severity_type 2
15967,severity_type 1
2184,severity_type 1
17071,severity_type 4
13185,severity_type 1
17329,severity_type 1
9509,severity_type 1
587,severity_type 1
14586,severity_type 1
3967,severity_type 1
4941,severity_type 2
16781,severity_type 1
15684,severity_type 1
525,severity_type 1
17856,severity_type 1
6932,severity_type 1
9787,severity_type 1
4740,severity_type 1
4053,severity_type 1
6376,severity_type 1
13330,severity_type 1
8036,severity_type 1
3895,severity_type 1
333,severity_type 1
16024,severity_type 1
10696,severity_type 1
17505,severity_type 1
4045,severity_type 1
18399,severity_type 1
11874,severity_type 1
17062,severity_type 1
8042,severity_type 1
11725,severity_type 1
750,severity_type 1
7315,severity_type 1
16339,severity_type 1
2212,severity_type 1
7545,severity_type 1
14767,severity_type 1
5282,severity_type 1
12389,severity_type 1
1380,severity_type 1
10409,severity_type 1
10658,severity_type 1
6144,severity_type 2
10370,severity_type 1
17852,severity_type 1
5032,severity_type 1
5370,severity_type 1
12273,severity_type 1
1998,severity_type 1
17379,severity_type 1
252,severity_type 1
14875,severity_type 1
6834,severity_type 1
9158,severity_type 1
8694,severity_type 1
7348,severity_type 1
12661,severity_type 1
7171,severity_type 1
4733,severity_type 1
1931,severity_type 1
14047,severity_type 2
611,severity_type 1
9354,severity_type 2
15287,severity_type 2
13403,severity_type 1
982,severity_type 4
8581,severity_type 4
7504,severity_type 1
17653,severity_type 1
2741,severity_type 1
10977,severity_type 1
8359,severity_type 1
7385,severity_type 1
8467,severity_type 1
11740,severity_type 1
9778,severity_type 1
15626,severity_type 1
3949,severity_type 1
3663,severity_type 4
17209,severity_type 1
400,severity_type 1
4861,severity_type 1
805,severity_type 1
11989,severity_type 1
748,severity_type 1
10508,severity_type 1
5977,severity_type 1
2090,severity_type 2
5257,severity_type 1
8159,severity_type 1
1135,severity_type 1
6679,severity_type 1
6313,severity_type 1
1231,severity_type 1
1706,severity_type 4
16741,severity_type 2
4629,severity_type 1
3491,severity_type 1
9852,severity_type 2
10293,severity_type 1
9596,severity_type 1
5300,severity_type 1
15871,severity_type 1
1566,severity_type 1
4254,severity_type 1
2652,severity_type 1
484,severity_type 1
1588,severity_type 1
10561,severity_type 1
7174,severity_type 2
12209,severity_type 2
17627,severity_type 1
3701,severity_type 1
15517,severity_type 1
16136,severity_type 1
9720,severity_type 1
5184,severity_type 1
11581,severity_type 1
6327,severity_type 1
16645,severity_type 1
1704,severity_type 1
4279,severity_type 1
12527,severity_type 1
47,severity_type 1
5617,severity_type 1
8530,severity_type 1
11653,severity_type 1
13920,severity_type 1
3191,severity_type 1
6439,severity_type 1
15350,severity_type 2
5512,severity_type 2
16346,severity_type 1
12308,severity_type 1
14668,severity_type 2
16441,severity_type 1
16562,severity_type 1
9919,severity_type 1
12731,severity_type 1
17525,severity_type 1
2829,severity_type 1
13065,severity_type 1
13888,severity_type 2
2067,severity_type 1
17949,severity_type 1
886,severity_type 1
18120,severity_type 2
17434,severity_type 1
4884,severity_type 1
7017,severity_type 2
18407,severity_type 2
17867,severity_type 1
17134,severity_type 2
14131,severity_type 1
6517,severity_type 1
10666,severity_type 1
14592,severity_type 1
8759,severity_type 2
7878,severity_type 1
13792,severity_type 2
17833,severity_type 1
14360,severity_type 2
4591,severity_type 2
16142,severity_type 1
628,severity_type 2
893,severity_type 1
11341,severity_type 2
6581,severity_type 2
13606,severity_type 2
10407,severity_type 2
17931,severity_type 2
6564,severity_type 2
9848,severity_type 2
9598,severity_type 1
12282,severity_type 1
15099,severity_type 2
11207,severity_type 1
6160,severity_type 2
12569,severity_type 1
10492,severity_type 2
1126,severity_type 1
3684,severity_type 1
11968,severity_type 1
9372,severity_type 1
1477,severity_type 2
14661,severity_type 1
14997,severity_type 2
2322,severity_type 1
7354,severity_type 1
11981,severity_type 2
7279,severity_type 1
386,severity_type 1
7835,severity_type 1
12590,severity_type 1
4092,severity_type 1
14100,severity_type 2
9722,severity_type 2
12495,severity_type 2
12227,severity_type 1
5693,severity_type 2
13688,severity_type 2
17825,severity_type 2
11878,severity_type 2
13552,severity_type 1
10520,severity_type 1
10137,severity_type 1
855,severity_type 1
17557,severity_type 2
3667,severity_type 2
11352,severity_type 1
13408,severity_type 2
5178,severity_type 2
7372,severity_type 1
5784,severity_type 1
4047,severity_type 2
11367,severity_type 2
17801,severity_type 2
460,severity_type 2
12790,severity_type 2
2999,severity_type 2
5476,severity_type 2
17540,severity_type 1
8880,severity_type 2
13391,severity_type 1
12112,severity_type 2
10676,severity_type 2
11133,severity_type 2
1508,severity_type 2
375,severity_type 1
12473,severity_type 2
3692,severity_type 2
14557,severity_type 1
17724,severity_type 1
8673,severity_type 2
18253,severity_type 2
595,severity_type 2
6565,severity_type 2
17749,severity_type 2
10783,severity_type 2
2216,severity_type 2
15716,severity_type 2
18116,severity_type 1
10572,severity_type 2
8234,severity_type 2
11189,severity_type 1
11895,severity_type 1
4658,severity_type 1
4674,severity_type 2
2991,severity_type 2
6747,severity_type 2
3052,severity_type 2
6990,severity_type 2
5439,severity_type 1
13612,severity_type 1
8173,severity_type 2
6902,severity_type 2
18176,severity_type 1
11790,severity_type 1
15693,severity_type 1
5320,severity_type 1
3877,severity_type 2
13361,severity_type 1
15072,severity_type 2
9280,severity_type 2
3789,severity_type 2
14664,severity_type 1
14647,severity_type 1
9980,severity_type 2
1382,severity_type 2
16456,severity_type 2
13078,severity_type 2
7360,severity_type 2
1493,severity_type 2
5731,severity_type 2
10329,severity_type 1
267,severity_type 2
14087,severity_type 2
13440,severity_type 1
11758,severity_type 2
14439,severity_type 1
8355,severity_type 2
11357,severity_type 2
17017,severity_type 2
5304,severity_type 2
10803,severity_type 2
17568,severity_type 2
4620,severity_type 2
12275,severity_type 2
7146,severity_type 2
11896,severity_type 2
10403,severity_type 2
45,severity_type 2
9928,severity_type 2
2091,severity_type 2
12939,severity_type 2
16012,severity_type 1
1368,severity_type 2
10790,severity_type 1
9911,severity_type 2
14907,severity_type 2
6638,severity_type 2
10857,severity_type 2
4470,severity_type 1
15434,severity_type 1
7667,severity_type 2
3327,severity_type 2
12278,severity_type 2
6267,severity_type 2
17581,severity_type 2
8269,severity_type 2
7055,severity_type 2
14032,severity_type 2
13543,severity_type 2
13341,severity_type 2
17440,severity_type 2
6379,severity_type 2
7864,severity_type 2
10047,severity_type 1
6837,severity_type 2
8007,severity_type 2
6931,severity_type 2
5846,severity_type 2
11038,severity_type 2
10687,severity_type 2
7866,severity_type 2
3881,severity_type 2
12143,severity_type 2
3066,severity_type 2
6689,severity_type 2
6387,severity_type 2
11651,severity_type 2
3864,severity_type 2
9441,severity_type 2
15640,severity_type 2
13801,severity_type 2
12836,severity_type 2
10058,severity_type 2
14839,severity_type 2
1810,severity_type 2
15538,severity_type 2
4217,severity_type 2
6838,severity_type 2
8619,severity_type 2
5714,severity_type 2
7137,severity_type 2
10001,severity_type 2
5785,severity_type 2
2162,severity_type 2
17358,severity_type 2
13837,severity_type 2
17034,severity_type 2
1933,severity_type 2
12182,severity_type 2
18421,severity_type 2
12104,severity_type 2
3431,severity_type 2
2437,severity_type 2
17751,severity_type 2
3429,severity_type 1
11150,severity_type 2
7952,severity_type 1
10593,severity_type 2
516,severity_type 2
17647,severity_type 2
10956,severity_type 2
2550,severity_type 2
14153,severity_type 4
5081,severity_type 2
12379,severity_type 4
1663,severity_type 1
10627,severity_type 2
2656,severity_type 2
4317,severity_type 4
15568,severity_type 4
16021,severity_type 2
15156,severity_type 2
2763,severity_type 2
10136,severity_type 2
6212,severity_type 1
12478,severity_type 2
9898,severity_type 2
9406,severity_type 2
16763,severity_type 4
8466,severity_type 2
9727,severity_type 2
6427,severity_type 4
636,severity_type 2
17830,severity_type 2
5783,severity_type 2
11301,severity_type 4
1059,severity_type 2
8316,severity_type 2
13219,severity_type 2
8750,severity_type 2
15676,severity_type 2
17019,severity_type 2
13987,severity_type 2
8062,severity_type 2
4285,severity_type 2
7944,severity_type 2
10567,severity_type 2
3336,severity_type 2
5526,severity_type 2
3279,severity_type 4
4608,severity_type 4
4184,severity_type 2
11294,severity_type 4
3201,severity_type 4
14132,severity_type 4
14345,severity_type 2
8897,severity_type 2
15400,severity_type 2
15657,severity_type 2
4103,severity_type 2
13733,severity_type 2
13346,severity_type 2
2992,severity_type 2
3064,severity_type 1
12216,severity_type 2
8804,severity_type 1
13299,severity_type 1
7297,severity_type 1
7313,severity_type 1
13382,severity_type 1
16525,severity_type 1
2847,severity_type 1
18408,severity_type 1
3306,severity_type 1
8247,severity_type 1
1621,severity_type 1
14811,severity_type 1
3916,severity_type 1
10610,severity_type 1
4741,severity_type 1
13137,severity_type 1
18388,severity_type 1
15584,severity_type 1
15183,severity_type 1
13282,severity_type 1
14297,severity_type 1
14605,severity_type 1
9891,severity_type 1
1992,severity_type 1
11345,severity_type 1
11281,severity_type 1
9421,severity_type 1
4148,severity_type 1
1924,severity_type 1
4922,severity_type 1
13823,severity_type 1
11808,severity_type 1
4418,severity_type 1
5561,severity_type 1
10477,severity_type 1
11173,severity_type 1
1413,severity_type 1
15021,severity_type 1
14464,severity_type 1
5322,severity_type 1
18131,severity_type 1
4161,severity_type 1
12690,severity_type 5
13079,severity_type 1
2185,severity_type 1
2048,severity_type 5
11776,severity_type 2
777,severity_type 1
5427,severity_type 2
1803,severity_type 2
753,severity_type 1
9501,severity_type 1
9127,severity_type 1
9476,severity_type 1
14445,severity_type 1
1786,severity_type 2
18249,severity_type 1
12988,severity_type 1
482,severity_type 1
9789,severity_type 1
3420,severity_type 1
4544,severity_type 1
9529,severity_type 2
13473,severity_type 2
12633,severity_type 2
9781,severity_type 1
9782,severity_type 1
1918,severity_type 1
16548,severity_type 2
4557,severity_type 2
4290,severity_type 1
11061,severity_type 1
16193,severity_type 1
14460,severity_type 1
12561,severity_type 2
2869,severity_type 2
8122,severity_type 1
4084,severity_type 1
15811,severity_type 2
1637,severity_type 2
350,severity_type 1
15736,severity_type 1
14261,severity_type 1
16593,severity_type 1
17605,severity_type 1
14326,severity_type 1
14679,severity_type 2
14140,severity_type 1
12233,severity_type 1
12084,severity_type 1
17502,severity_type 1
14463,severity_type 1
812,severity_type 1
12487,severity_type 1
16240,severity_type 1
1598,severity_type 1
17515,severity_type 1
6823,severity_type 2
16724,severity_type 1
12811,severity_type 1
9853,severity_type 1
479,severity_type 1
34,severity_type 1
17416,severity_type 1
17853,severity_type 1
11459,severity_type 1
11887,severity_type 1
16818,severity_type 1
5510,severity_type 1
17033,severity_type 1
7978,severity_type 1
7853,severity_type 1
17533,severity_type 1
3043,severity_type 1
1677,severity_type 1
810,severity_type 4
14310,severity_type 4
3308,severity_type 1
7076,severity_type 1
3640,severity_type 1
15800,severity_type 2
11130,severity_type 1
11687,severity_type 1
15539,severity_type 2
2580,severity_type 4
8392,severity_type 1
8616,severity_type 1
2407,severity_type 1
17448,severity_type 1
4249,severity_type 1
1294,severity_type 1
6818,severity_type 1
5681,severity_type 2
10981,severity_type 1
11271,severity_type 1
3594,severity_type 2
3242,severity_type 2
17567,severity_type 2
5736,severity_type 2
13353,severity_type 1
11198,severity_type 1
16865,severity_type 1
8840,severity_type 2
13974,severity_type 1
4339,severity_type 1
14540,severity_type 1
183,severity_type 1
13862,severity_type 2
2590,severity_type 1
12015,severity_type 1
16141,severity_type 1
8599,severity_type 1
5484,severity_type 1
9610,severity_type 1
11215,severity_type 1
9944,severity_type 1
3861,severity_type 1
7452,severity_type 1
11994,severity_type 1
4651,severity_type 2
861,severity_type 1
6321,severity_type 1
5379,severity_type 1
3693,severity_type 1
5190,severity_type 1
5340,severity_type 1
8566,severity_type 1
4146,severity_type 1
11291,severity_type 1
3842,severity_type 1
2353,severity_type 1
10530,severity_type 2
14233,severity_type 1
4747,severity_type 1
5043,severity_type 1
16588,severity_type 1
3156,severity_type 1
14994,severity_type 2
6749,severity_type 1
4300,severity_type 1
7624,severity_type 2
3974,severity_type 2
1351,severity_type 2
9485,severity_type 2
13841,severity_type 2
17730,severity_type 2
3451,severity_type 2
1789,severity_type 2
12373,severity_type 1
9276,severity_type 1
6418,severity_type 1
15844,severity_type 1
14903,severity_type 1
6218,severity_type 2
8662,severity_type 1
2842,severity_type 1
16558,severity_type 1
2499,severity_type 1
5839,severity_type 1
1601,severity_type 1
6416,severity_type 1
5272,severity_type 1
11395,severity_type 2
6644,severity_type 1
13239,severity_type 2
7912,severity_type 1
883,severity_type 2
4460,severity_type 2
8134,severity_type 1
3726,severity_type 4
9647,severity_type 4
1481,severity_type 1
12651,severity_type 1
14467,severity_type 2
13883,severity_type 1
11694,severity_type 1
6450,severity_type 1
9885,severity_type 1
16982,severity_type 1
816,severity_type 1
18544,severity_type 1
7476,severity_type 1
16998,severity_type 1
3234,severity_type 1
550,severity_type 1
7951,severity_type 1
12236,severity_type 1
3824,severity_type 1
7319,severity_type 1
242,severity_type 1
14552,severity_type 1
4618,severity_type 1
17659,severity_type 1
1053,severity_type 1
12082,severity_type 1
12284,severity_type 1
12886,severity_type 1
3164,severity_type 1
7645,severity_type 1
13432,severity_type 1
16455,severity_type 1
6300,severity_type 1
12668,severity_type 1
5853,severity_type 4
13531,severity_type 2
11531,severity_type 1
15962,severity_type 1
11194,severity_type 1
13461,severity_type 1
2223,severity_type 1
18197,severity_type 1
4532,severity_type 4
2280,severity_type 1
10377,severity_type 1
14909,severity_type 1
10988,severity_type 1
8765,severity_type 1
10535,severity_type 1
17650,severity_type 1
14443,severity_type 1
7420,severity_type 1
2505,severity_type 1
8567,severity_type 1
3130,severity_type 1
7148,severity_type 1
1225,severity_type 1
8116,severity_type 1
15425,severity_type 1
8950,severity_type 1
13229,severity_type 1
5227,severity_type 1
3225,severity_type 1
16461,severity_type 1
10380,severity_type 1
10615,severity_type 1
1946,severity_type 1
12408,severity_type 1
8875,severity_type 1
10924,severity_type 2
14166,severity_type 2
11915,severity_type 1
5553,severity_type 2
7234,severity_type 1
9260,severity_type 1
4738,severity_type 1
9379,severity_type 1
256,severity_type 4
15359,severity_type 1
7404,severity_type 2
10286,severity_type 1
16899,severity_type 1
3672,severity_type 1
9443,severity_type 2
16520,severity_type 1
18494,severity_type 1
9363,severity_type 1
5451,severity_type 1
2540,severity_type 1
11545,severity_type 1
4678,severity_type 1
11899,severity_type 1
10518,severity_type 1
11425,severity_type 1
2274,severity_type 1
12111,severity_type 1
8361,severity_type 1
7124,severity_type 2
9762,severity_type 2
6467,severity_type 4
8132,severity_type 2
6033,severity_type 2
17643,severity_type 1
13469,severity_type 1
8117,severity_type 1
17299,severity_type 4
11377,severity_type 1
2655,severity_type 4
14490,severity_type 1
11330,severity_type 2
1974,severity_type 2
2793,severity_type 1
4758,severity_type 1
6609,severity_type 1
17706,severity_type 1
1319,severity_type 1
5464,severity_type 1
14197,severity_type 1
13632,severity_type 1
9981,severity_type 1
3755,severity_type 1
8990,severity_type 1
160,severity_type 1
15823,severity_type 2
8240,severity_type 2
13506,severity_type 1
6462,severity_type 1
2219,severity_type 1
13081,severity_type 1
7423,severity_type 1
7766,severity_type 1
3988,severity_type 1
2017,severity_type 1
14425,severity_type 1
1298,severity_type 1
17829,severity_type 2
948,severity_type 1
2576,severity_type 1
4791,severity_type 1
11063,severity_type 2
13470,severity_type 1
12437,severity_type 1
8903,severity_type 1
12804,severity_type 1
8910,severity_type 2
12399,severity_type 2
2397,severity_type 2
7057,severity_type 2
17474,severity_type 1
14781,severity_type 4
11712,severity_type 2
10512,severity_type 1
5105,severity_type 1
17671,severity_type 1
3330,severity_type 2
11914,severity_type 2
15304,severity_type 2
132,severity_type 2
17156,severity_type 2
6814,severity_type 2
8577,severity_type 2
3733,severity_type 1
8680,severity_type 2
9962,severity_type 2
12361,severity_type 2
3942,severity_type 1
11236,severity_type 1
12958,severity_type 1
11539,severity_type 1
1173,severity_type 2
5325,severity_type 1
17974,severity_type 1
14534,severity_type 1
18496,severity_type 2
7568,severity_type 1
5771,severity_type 1
2654,severity_type 1
9008,severity_type 2
6666,severity_type 1
10770,severity_type 2
6744,severity_type 2
10073,severity_type 2
7203,severity_type 1
13574,severity_type 1
2706,severity_type 1
9028,severity_type 2
9378,severity_type 1
2787,severity_type 2
16787,severity_type 2
5011,severity_type 1
9579,severity_type 1
1255,severity_type 2
17727,severity_type 2
4729,severity_type 2
5247,severity_type 2
12987,severity_type 2
16192,severity_type 2
17573,severity_type 1
15788,severity_type 2
5722,severity_type 2
9078,severity_type 2
12592,severity_type 1
708,severity_type 2
9603,severity_type 2
9860,severity_type 2
16480,severity_type 2
18088,severity_type 2
15001,severity_type 2
16425,severity_type 2
13320,severity_type 1
2100,severity_type 1
11320,severity_type 2
477,severity_type 2
15076,severity_type 2
7910,severity_type 2
13578,severity_type 2
11316,severity_type 2
1245,severity_type 1
6028,severity_type 2
18323,severity_type 2
18005,severity_type 2
17342,severity_type 2
7269,severity_type 2
17874,severity_type 2
12872,severity_type 2
5589,severity_type 2
18528,severity_type 2
9910,severity_type 2
13005,severity_type 2
1110,severity_type 2
12442,severity_type 2
9611,severity_type 2
11875,severity_type 2
14868,severity_type 2
12353,severity_type 2
4526,severity_type 2
10721,severity_type 2
8079,severity_type 2
5030,severity_type 2
9900,severity_type 2
291,severity_type 1
15017,severity_type 2
582,severity_type 2
15314,severity_type 2
9277,severity_type 2
9821,severity_type 2
9922,severity_type 2
12075,severity_type 2
14408,severity_type 2
6472,severity_type 2
1344,severity_type 2
6103,severity_type 2
11404,severity_type 2
12535,severity_type 2
673,severity_type 2
17948,severity_type 2
8444,severity_type 2
14255,severity_type 2
12537,severity_type 2
8404,severity_type 2
11162,severity_type 5
18081,severity_type 1
11158,severity_type 2
4032,severity_type 1
4776,severity_type 1
3454,severity_type 1
9309,severity_type 1
5880,severity_type 1
8252,severity_type 2
11708,severity_type 1
6129,severity_type 1
17135,severity_type 2
39,severity_type 1
13805,severity_type 1
11781,severity_type 1
5954,severity_type 2
13093,severity_type 1
11195,severity_type 1
6188,severity_type 1
1257,severity_type 1
10829,severity_type 1
14770,severity_type 1
15162,severity_type 1
13291,severity_type 1
10363,severity_type 1
6994,severity_type 2
13301,severity_type 1
414,severity_type 1
4011,severity_type 2
9520,severity_type 2
14578,severity_type 1
17489,severity_type 2
3313,severity_type 1
5726,severity_type 1
6166,severity_type 1
42,severity_type 1
4323,severity_type 1
16335,severity_type 1
6948,severity_type 1
9620,severity_type 1
9250,severity_type 1
526,severity_type 1
18540,severity_type 2
6072,severity_type 2
3794,severity_type 1
11153,severity_type 2
15040,severity_type 1
5705,severity_type 1
15740,severity_type 1
17193,severity_type 1
6572,severity_type 2
4490,severity_type 1
4312,severity_type 1
13931,severity_type 1
10718,severity_type 2
1363,severity_type 1
6617,severity_type 1
18200,severity_type 1
15465,severity_type 1
11911,severity_type 1
1277,severity_type 1
4215,severity_type 1
2809,severity_type 1
3707,severity_type 2
6064,severity_type 1
10038,severity_type 1
1456,severity_type 1
3775,severity_type 1
14953,severity_type 1
15445,severity_type 1
8251,severity_type 1
10506,severity_type 1
7861,severity_type 1
5460,severity_type 1
15522,severity_type 1
16499,severity_type 1
11912,severity_type 2
2645,severity_type 1
13401,severity_type 1
13864,severity_type 2
15435,severity_type 1
3002,severity_type 2
17544,severity_type 1
17674,severity_type 2
5162,severity_type 2
11204,severity_type 2
15509,severity_type 1
12789,severity_type 1
14944,severity_type 1
2863,severity_type 1
16611,severity_type 1
3614,severity_type 1
5477,severity_type 1
