id,event_type
18416,event_type 11
18415,event_type 35
18415,event_type 34
18414,event_type 11
18413,event_type 20
18412,event_type 26
18412,event_type 30
18412,event_type 20
18412,event_type 29
18412,event_type 26
18412,event_type 30
18412,event_type 20
18412,event_type 29
18411,event_type 50
18411,event_type 47
18411,event_type 50
18411,event_type 47
18410,event_type 15
18409,event_type 15
18409,event_type 54
18408,event_type 11
18407,event_type 15
18406,event_type 54
18406,event_type 15
18405,event_type 24
18405,event_type 23
18404,event_type 35
18404,event_type 34
18403,event_type 15
18403,event_type 15
18402,event_type 35
18402,event_type 20
18401,event_type 34
18401,event_type 35
18400,event_type 11
18399,event_type 13
18399,event_type 11
18398,event_type 43
18398,event_type 44
18398,event_type 42
18397,event_type 11
18396,event_type 35
18396,event_type 34
18395,event_type 15
18394,event_type 20
18393,event_type 15
18392,event_type 34
18392,event_type 35
18391,event_type 15
18391,event_type 54
18390,event_type 11
18389,event_type 11
18389,event_type 2
18388,event_type 11
18387,event_type 11
18386,event_type 35
18386,event_type 34
18385,event_type 34
18385,event_type 35
18384,event_type 15
18383,event_type 20
18382,event_type 42
18382,event_type 43
18382,event_type 44
18381,event_type 34
18381,event_type 35
18380,event_type 35
18379,event_type 11
18379,event_type 22
18379,event_type 23
18378,event_type 34
18378,event_type 35
18377,event_type 35
18377,event_type 34
18376,event_type 15
18375,event_type 34
18375,event_type 35
18374,event_type 34
18374,event_type 35
18373,event_type 11
18372,event_type 11
18372,event_type 11
18371,event_type 35
18371,event_type 34
18370,event_type 11
18370,event_type 11
18369,event_type 15
18369,event_type 15
18368,event_type 11
18368,event_type 15
18367,event_type 23
18366,event_type 39
18366,event_type 10
18366,event_type 11
18365,event_type 34
18365,event_type 35
18364,event_type 11
18364,event_type 23
18364,event_type 11
18364,event_type 23
18363,event_type 14
18363,event_type 11
18362,event_type 22
18362,event_type 23
18362,event_type 11
18361,event_type 15
18361,event_type 15
18360,event_type 15
18360,event_type 11
18359,event_type 15
18358,event_type 11
18358,event_type 30
18358,event_type 10
18358,event_type 28
18358,event_type 29
18357,event_type 26
18357,event_type 15
18356,event_type 11
18356,event_type 11
18355,event_type 35
18355,event_type 34
18354,event_type 34
18354,event_type 35
18353,event_type 11
18353,event_type 15
18352,event_type 35
18351,event_type 15
18351,event_type 11
18350,event_type 15
18349,event_type 20
18349,event_type 35
18349,event_type 34
18348,event_type 11
18347,event_type 11
18347,event_type 54
18347,event_type 11
18347,event_type 54
18346,event_type 34
18346,event_type 35
18345,event_type 44
18345,event_type 42
18344,event_type 35
18343,event_type 15
18343,event_type 11
18342,event_type 34
18342,event_type 35
18341,event_type 35
18341,event_type 34
18340,event_type 35
18340,event_type 34
18339,event_type 34
18339,event_type 35
18338,event_type 11
18338,event_type 15
18338,event_type 11
18338,event_type 15
18337,event_type 11
18337,event_type 11
18336,event_type 15
18336,event_type 15
18335,event_type 15
18335,event_type 11
18334,event_type 11
18333,event_type 21
18333,event_type 20
18332,event_type 34
18332,event_type 35
18331,event_type 11
18331,event_type 11
18330,event_type 11
18329,event_type 35
18328,event_type 35
18328,event_type 34
18328,event_type 35
18328,event_type 34
18327,event_type 11
18326,event_type 11
18326,event_type 11
18325,event_type 11
18325,event_type 15
18325,event_type 11
18325,event_type 15
18324,event_type 15
18323,event_type 15
18322,event_type 11
18321,event_type 20
18320,event_type 15
18320,event_type 11
18320,event_type 15
18320,event_type 11
18319,event_type 34
18319,event_type 35
18318,event_type 35
18318,event_type 34
18317,event_type 35
18316,event_type 35
18316,event_type 34
18315,event_type 34
18315,event_type 35
18314,event_type 11
18313,event_type 54
18313,event_type 15
18313,event_type 11
18312,event_type 34
18312,event_type 35
18311,event_type 34
18311,event_type 35
18310,event_type 34
18309,event_type 15
18309,event_type 11
18309,event_type 54
18308,event_type 11
18307,event_type 11
18307,event_type 20
18306,event_type 15
18306,event_type 11
18305,event_type 34
18305,event_type 35
18304,event_type 11
18304,event_type 15
18304,event_type 11
18304,event_type 15
18303,event_type 11
18302,event_type 15
18301,event_type 11
18301,event_type 23
18301,event_type 14
18300,event_type 34
18300,event_type 35
18299,event_type 15
18299,event_type 15
18298,event_type 11
18298,event_type 15
18298,event_type 11
18298,event_type 15
18297,event_type 15
18296,event_type 15
18295,event_type 14
18295,event_type 11
18295,event_type 14
18295,event_type 11
18294,event_type 11
18293,event_type 35
18293,event_type 34
18292,event_type 34
18292,event_type 35
18291,event_type 15
18290,event_type 34
18290,event_type 35
18289,event_type 11
18288,event_type 15
18288,event_type 11
18287,event_type 11
18286,event_type 11
18285,event_type 15
18284,event_type 35
18284,event_type 34
18283,event_type 35
18282,event_type 35
18282,event_type 34
18281,event_type 35
18281,event_type 34
18280,event_type 34
18280,event_type 35
18279,event_type 13
18278,event_type 23
18278,event_type 14
18278,event_type 11
18277,event_type 15
18276,event_type 15
18275,event_type 35
18275,event_type 34
18274,event_type 32
18274,event_type 11
18273,event_type 11
18273,event_type 11
18272,event_type 34
18271,event_type 15
18270,event_type 44
18270,event_type 42
18269,event_type 11
18268,event_type 11
18268,event_type 15
18267,event_type 54
18267,event_type 15
18266,event_type 34
18266,event_type 35
18265,event_type 35
18265,event_type 11
18265,event_type 34
18264,event_type 35
18264,event_type 34
18263,event_type 34
18263,event_type 35
18262,event_type 35
18262,event_type 20
18262,event_type 34
18261,event_type 11
18260,event_type 34
18260,event_type 35
18259,event_type 34
18259,event_type 35
18258,event_type 54
18258,event_type 15
18257,event_type 34
18257,event_type 35
18256,event_type 15
18255,event_type 15
18255,event_type 11
18255,event_type 15
18255,event_type 11
18254,event_type 34
18254,event_type 35
18253,event_type 15
18252,event_type 11
18251,event_type 11
18251,event_type 15
18250,event_type 11
18249,event_type 11
18248,event_type 35
18248,event_type 34
18247,event_type 11
18246,event_type 34
18246,event_type 35
18245,event_type 35
18245,event_type 34
18244,event_type 54
18244,event_type 54
18243,event_type 11
18243,event_type 11
18242,event_type 11
18242,event_type 13
18241,event_type 35
18240,event_type 34
18240,event_type 35
18239,event_type 11
18238,event_type 35
18238,event_type 34
18237,event_type 11
18237,event_type 11
18236,event_type 15
18236,event_type 11
18236,event_type 15
18236,event_type 11
18235,event_type 34
18235,event_type 35
18234,event_type 34
18234,event_type 35
18233,event_type 34
18232,event_type 35
18232,event_type 34
18231,event_type 34
18231,event_type 35
18231,event_type 34
18231,event_type 35
18230,event_type 15
18230,event_type 15
18229,event_type 11
18229,event_type 15
18228,event_type 15
18228,event_type 11
18227,event_type 35
18226,event_type 35
18226,event_type 34
18225,event_type 14
18225,event_type 11
18225,event_type 14
18225,event_type 11
18224,event_type 11
18223,event_type 11
18223,event_type 23
18222,event_type 15
18222,event_type 54
18221,event_type 11
18220,event_type 11
18220,event_type 15
18219,event_type 34
18219,event_type 35
18218,event_type 34
18218,event_type 35
18217,event_type 11
18216,event_type 13
18215,event_type 15
18215,event_type 11
18215,event_type 15
18215,event_type 11
18214,event_type 11
18214,event_type 13
18213,event_type 11
18212,event_type 34
18212,event_type 35
18211,event_type 15
18210,event_type 15
18210,event_type 11
18209,event_type 34
18209,event_type 35
18208,event_type 15
18208,event_type 11
18208,event_type 15
18208,event_type 11
18207,event_type 8
18207,event_type 29
18206,event_type 10
18205,event_type 11
18204,event_type 35
18204,event_type 34
18203,event_type 15
18202,event_type 23
18202,event_type 11
18201,event_type 35
18201,event_type 34
18200,event_type 11
18199,event_type 11
18198,event_type 11
18198,event_type 11
18197,event_type 11
18196,event_type 15
18195,event_type 15
18195,event_type 11
18194,event_type 11
18194,event_type 11
18193,event_type 35
18193,event_type 34
18192,event_type 11
18191,event_type 15
18190,event_type 11
18189,event_type 34
18189,event_type 35
18188,event_type 34
18188,event_type 35
18187,event_type 34
18187,event_type 35
18186,event_type 34
18186,event_type 35
18185,event_type 34
18185,event_type 35
18184,event_type 15
18183,event_type 11
18182,event_type 34
18182,event_type 35
18181,event_type 35
18181,event_type 34
18180,event_type 44
18180,event_type 43
18180,event_type 42
18179,event_type 11
18179,event_type 22
18179,event_type 23
18178,event_type 54
18177,event_type 11
18177,event_type 14
18176,event_type 11
18176,event_type 15
18175,event_type 11
18174,event_type 15
18174,event_type 11
18173,event_type 20
18172,event_type 35
18172,event_type 34
18172,event_type 20
18171,event_type 35
18171,event_type 34
18170,event_type 11
18170,event_type 15
18169,event_type 34
18169,event_type 35
18168,event_type 34
18167,event_type 11
18166,event_type 20
18165,event_type 34
18165,event_type 35
18164,event_type 35
18164,event_type 34
18163,event_type 35
18163,event_type 34
18162,event_type 34
18162,event_type 35
18161,event_type 11
18160,event_type 34
18160,event_type 35
18159,event_type 15
18158,event_type 15
18157,event_type 34
18157,event_type 35
18156,event_type 15
18156,event_type 11
18156,event_type 15
18156,event_type 11
18155,event_type 35
18155,event_type 34
18154,event_type 34
18154,event_type 35
18153,event_type 11
18152,event_type 15
18151,event_type 11
18151,event_type 15
18150,event_type 11
18149,event_type 10
18148,event_type 13
18148,event_type 11
18147,event_type 15
18147,event_type 11
18146,event_type 11
18145,event_type 34
18145,event_type 35
18144,event_type 13
18144,event_type 11
18143,event_type 35
18143,event_type 34
18142,event_type 15
18142,event_type 11
18141,event_type 11
18141,event_type 15
18140,event_type 15
18139,event_type 11
18138,event_type 11
18138,event_type 15
18138,event_type 11
18138,event_type 15
18137,event_type 23
18137,event_type 23
18136,event_type 34
18136,event_type 35
18135,event_type 11
18135,event_type 15
18134,event_type 20
18134,event_type 35
18133,event_type 15
18132,event_type 34
18132,event_type 35
18131,event_type 11
18130,event_type 20
18130,event_type 20
18129,event_type 35
18129,event_type 34
18128,event_type 34
18128,event_type 35
18127,event_type 11
18127,event_type 11
18126,event_type 15
18125,event_type 34
18125,event_type 35
18124,event_type 15
18123,event_type 11
18122,event_type 35
18122,event_type 34
18121,event_type 35
18121,event_type 34
18120,event_type 15
18119,event_type 15
18119,event_type 15
18118,event_type 20
18117,event_type 11
18117,event_type 2
18116,event_type 11
18116,event_type 15
18115,event_type 44
18115,event_type 42
18114,event_type 18
18114,event_type 13
18114,event_type 18
18114,event_type 13
18113,event_type 34
18113,event_type 35
18112,event_type 11
18111,event_type 11
18111,event_type 11
18110,event_type 44
18110,event_type 42
18109,event_type 11
18109,event_type 11
18108,event_type 35
18108,event_type 11
18108,event_type 34
18107,event_type 15
18106,event_type 11
18106,event_type 8
18105,event_type 34
18105,event_type 35
18104,event_type 34
18104,event_type 35
18104,event_type 11
18103,event_type 34
18103,event_type 35
18102,event_type 15
18102,event_type 15
18101,event_type 34
18101,event_type 35
18100,event_type 11
18099,event_type 11
18098,event_type 54
18098,event_type 15
18097,event_type 34
18097,event_type 35
18096,event_type 15
18096,event_type 11
18095,event_type 35
18095,event_type 34
18094,event_type 35
18094,event_type 34
18093,event_type 11
18092,event_type 34
18092,event_type 35
18091,event_type 15
18091,event_type 54
18090,event_type 35
18090,event_type 34
18090,event_type 35
18090,event_type 34
18089,event_type 10
18088,event_type 15
18087,event_type 15
18087,event_type 11
18087,event_type 15
18087,event_type 11
18086,event_type 35
18086,event_type 34
18085,event_type 35
18085,event_type 34
18084,event_type 11
18084,event_type 54
18083,event_type 11
18083,event_type 15
18083,event_type 11
18083,event_type 15
18082,event_type 35
18082,event_type 34
18081,event_type 11
18080,event_type 34
18080,event_type 35
18079,event_type 35
18079,event_type 34
18078,event_type 54
18078,event_type 15
18077,event_type 29
18076,event_type 20
18076,event_type 11
18075,event_type 11
18075,event_type 14
18075,event_type 23
18075,event_type 21
18075,event_type 20
18074,event_type 11
18074,event_type 11
18073,event_type 34
18073,event_type 35
18072,event_type 54
18072,event_type 23
18071,event_type 15
18071,event_type 15
18070,event_type 35
18069,event_type 11
18068,event_type 20
18067,event_type 44
18067,event_type 42
18066,event_type 34
18066,event_type 35
18065,event_type 11
18064,event_type 11
18063,event_type 35
18063,event_type 34
18062,event_type 34
18062,event_type 35
18061,event_type 15
18061,event_type 11
18060,event_type 34
18060,event_type 35
18059,event_type 34
18059,event_type 35
18058,event_type 15
18057,event_type 15
18056,event_type 34
18056,event_type 35
18055,event_type 11
18055,event_type 15
18054,event_type 34
18054,event_type 35
18053,event_type 11
18053,event_type 15
18052,event_type 34
18052,event_type 35
18051,event_type 11
18051,event_type 15
18050,event_type 15
18049,event_type 11
18048,event_type 20
18048,event_type 35
18047,event_type 35
18047,event_type 34
18046,event_type 35
18046,event_type 34
18045,event_type 15
18044,event_type 15
18043,event_type 34
18043,event_type 35
18042,event_type 34
18042,event_type 35
18041,event_type 34
18041,event_type 35
18040,event_type 11
18040,event_type 15
18039,event_type 11
18039,event_type 23
18039,event_type 22
18038,event_type 35
18038,event_type 34
18037,event_type 20
18037,event_type 20
18036,event_type 11
18035,event_type 54
18034,event_type 44
18034,event_type 42
18034,event_type 43
18033,event_type 35
18032,event_type 15
18032,event_type 11
18031,event_type 35
18031,event_type 11
18030,event_type 11
18030,event_type 15
18030,event_type 2
18029,event_type 15
18028,event_type 35
18027,event_type 34
18027,event_type 35
18026,event_type 11
18026,event_type 11
18025,event_type 11
18025,event_type 20
18024,event_type 15
18023,event_type 34
18023,event_type 35
18022,event_type 11
18022,event_type 11
18021,event_type 11
18020,event_type 11
18019,event_type 15
18018,event_type 44
18018,event_type 42
18017,event_type 43
18017,event_type 50
18017,event_type 42
18017,event_type 44
18016,event_type 15
18016,event_type 11
18015,event_type 42
18015,event_type 44
18015,event_type 43
18014,event_type 35
18014,event_type 34
18013,event_type 15
18013,event_type 11
18012,event_type 11
18011,event_type 11
18011,event_type 11
18010,event_type 13
18010,event_type 11
18009,event_type 11
18008,event_type 15
18007,event_type 44
18007,event_type 42
18006,event_type 11
18005,event_type 15
18004,event_type 15
18003,event_type 35
18003,event_type 34
18003,event_type 35
18003,event_type 34
18002,event_type 35
18001,event_type 11
18000,event_type 11
18000,event_type 15
18000,event_type 11
18000,event_type 15
17999,event_type 34
17999,event_type 35
17998,event_type 34
17998,event_type 35
17997,event_type 35
17997,event_type 34
17996,event_type 11
17995,event_type 11
17995,event_type 2
17994,event_type 34
17994,event_type 35
17993,event_type 11
17993,event_type 24
17993,event_type 14
17992,event_type 11
17992,event_type 54
17992,event_type 15
17992,event_type 11
17992,event_type 54
17992,event_type 15
17991,event_type 35
17991,event_type 34
17990,event_type 35
17989,event_type 35
17989,event_type 34
17988,event_type 35
17988,event_type 34
17987,event_type 35
17986,event_type 11
17985,event_type 11
17984,event_type 35
17984,event_type 34
17983,event_type 11
17983,event_type 54
17983,event_type 15
17982,event_type 15
17981,event_type 11
17980,event_type 35
17980,event_type 34
17979,event_type 11
17978,event_type 34
17978,event_type 35
17977,event_type 34
17977,event_type 35
17977,event_type 20
17976,event_type 35
17976,event_type 34
17975,event_type 11
17974,event_type 15
17974,event_type 11
17973,event_type 23
17973,event_type 11
17972,event_type 35
17972,event_type 34
17971,event_type 10
17971,event_type 27
17970,event_type 35
17970,event_type 34
17970,event_type 20
17969,event_type 15
17968,event_type 15
17968,event_type 15
17967,event_type 11
17967,event_type 11
17966,event_type 20
17965,event_type 11
17964,event_type 11
17963,event_type 1
17963,event_type 15
17963,event_type 11
17962,event_type 11
17961,event_type 11
17961,event_type 23
17961,event_type 20
17961,event_type 14
17960,event_type 42
17960,event_type 44
17960,event_type 43
17959,event_type 35
17958,event_type 11
17958,event_type 15
17957,event_type 46
17957,event_type 50
17957,event_type 47
17956,event_type 34
17956,event_type 35
17955,event_type 11
17954,event_type 11
17954,event_type 15
17954,event_type 54
17953,event_type 11
17953,event_type 15
17952,event_type 35
17952,event_type 34
17951,event_type 11
17951,event_type 15
17951,event_type 11
17951,event_type 15
17950,event_type 15
17949,event_type 11
17948,event_type 15
17947,event_type 35
17947,event_type 34
17946,event_type 11
17945,event_type 35
17945,event_type 34
17944,event_type 11
17943,event_type 34
17943,event_type 35
17942,event_type 15
17941,event_type 11
17941,event_type 20
17940,event_type 11
17940,event_type 13
17940,event_type 11
17940,event_type 13
17939,event_type 13
17939,event_type 11
17938,event_type 35
17938,event_type 34
17937,event_type 11
17936,event_type 11
17936,event_type 13
17935,event_type 11
17935,event_type 11
17934,event_type 15
17933,event_type 34
17932,event_type 11
17931,event_type 15
17930,event_type 11
17930,event_type 15
17929,event_type 20
17928,event_type 12
17928,event_type 35
17927,event_type 34
17927,event_type 35
17926,event_type 11
17925,event_type 11
17924,event_type 34
17924,event_type 35
17924,event_type 34
17924,event_type 35
17923,event_type 11
17922,event_type 11
17921,event_type 35
17921,event_type 34
17920,event_type 34
17920,event_type 35
17919,event_type 21
17918,event_type 11
17918,event_type 11
17917,event_type 15
17916,event_type 44
17916,event_type 42
17916,event_type 43
17915,event_type 11
17914,event_type 35
17914,event_type 11
17914,event_type 34
17913,event_type 15
17912,event_type 11
17911,event_type 11
17911,event_type 54
17911,event_type 15
17910,event_type 11
17910,event_type 11
17909,event_type 11
17908,event_type 15
17908,event_type 15
17907,event_type 23
17907,event_type 54
17906,event_type 35
17906,event_type 34
17905,event_type 11
17904,event_type 35
17904,event_type 34
17903,event_type 15
17902,event_type 54
17902,event_type 15
17901,event_type 11
17901,event_type 34
17900,event_type 34
17900,event_type 35
17899,event_type 11
17898,event_type 15
17898,event_type 15
17897,event_type 35
17897,event_type 34
17896,event_type 11
17895,event_type 11
17894,event_type 11
17893,event_type 34
17893,event_type 35
17892,event_type 34
17892,event_type 35
17891,event_type 34
17891,event_type 35
17890,event_type 54
17889,event_type 11
17888,event_type 11
17887,event_type 15
17886,event_type 11
17885,event_type 35
17885,event_type 34
17884,event_type 15
17884,event_type 11
17884,event_type 20
17883,event_type 13
17883,event_type 14
17883,event_type 11
17882,event_type 34
17882,event_type 35
17881,event_type 15
17880,event_type 35
17880,event_type 34
17879,event_type 15
17878,event_type 11
17877,event_type 34
17877,event_type 35
17876,event_type 44
17876,event_type 50
17876,event_type 47
17876,event_type 43
17876,event_type 42
17876,event_type 45
17876,event_type 44
17876,event_type 50
17876,event_type 47
17876,event_type 43
17876,event_type 42
17876,event_type 45
17875,event_type 11
17874,event_type 15
17873,event_type 35
17873,event_type 34
17872,event_type 35
17872,event_type 34
17872,event_type 11
17871,event_type 34
17871,event_type 35
17870,event_type 34
17870,event_type 35
17869,event_type 15
17868,event_type 15
17867,event_type 11
17867,event_type 15
17866,event_type 34
17866,event_type 35
17865,event_type 15
17864,event_type 11
17864,event_type 11
17863,event_type 34
17863,event_type 35
17863,event_type 34
17863,event_type 35
17862,event_type 11
17862,event_type 2
17861,event_type 15
17861,event_type 15
17860,event_type 11
17859,event_type 20
17858,event_type 35
17858,event_type 34
17857,event_type 34
17857,event_type 11
17857,event_type 35
17856,event_type 11
17856,event_type 13
17855,event_type 11
17854,event_type 23
17854,event_type 14
17854,event_type 11
17853,event_type 11
17852,event_type 11
17851,event_type 34
17851,event_type 35
17850,event_type 11
17850,event_type 13
17850,event_type 18
17849,event_type 15
17848,event_type 34
17848,event_type 35
17847,event_type 35
17847,event_type 34
17846,event_type 20
17845,event_type 11
17845,event_type 22
17844,event_type 35
17844,event_type 34
17843,event_type 11
17842,event_type 11
17841,event_type 15
17840,event_type 20
17839,event_type 11
17839,event_type 11
17838,event_type 34
17838,event_type 35
17837,event_type 34
17837,event_type 35
17836,event_type 34
17836,event_type 35
17835,event_type 34
17835,event_type 35
17834,event_type 11
17834,event_type 35
17834,event_type 36
17834,event_type 34
17833,event_type 15
17833,event_type 11
17832,event_type 34
17832,event_type 35
17831,event_type 44
17831,event_type 43
17831,event_type 42
17830,event_type 34
17830,event_type 35
17829,event_type 11
17828,event_type 15
17827,event_type 34
17827,event_type 35
17826,event_type 15
17825,event_type 15
17824,event_type 35
17824,event_type 34
17823,event_type 35
17823,event_type 34
17822,event_type 11
17822,event_type 20
17821,event_type 23
17821,event_type 11
17821,event_type 13
17820,event_type 20
17819,event_type 50
17818,event_type 34
17818,event_type 35
17817,event_type 20
17817,event_type 35
17817,event_type 34
17816,event_type 11
17815,event_type 43
17815,event_type 44
17815,event_type 50
17815,event_type 42
17814,event_type 11
17813,event_type 54
17813,event_type 11
17812,event_type 11
17811,event_type 11
17811,event_type 15
17810,event_type 11
17809,event_type 35
17809,event_type 34
17808,event_type 35
17808,event_type 34
17807,event_type 11
17807,event_type 11
17806,event_type 15
17805,event_type 34
17804,event_type 11
17803,event_type 54
17803,event_type 15
17802,event_type 11
17802,event_type 15
17801,event_type 15
17800,event_type 35
17800,event_type 34
17799,event_type 11
17798,event_type 35
17798,event_type 34
17797,event_type 54
17796,event_type 54
17795,event_type 11
17795,event_type 35
17795,event_type 34
17794,event_type 11
17794,event_type 54
17793,event_type 11
17793,event_type 14
17792,event_type 11
17792,event_type 15
17792,event_type 54
17791,event_type 20
17791,event_type 32
17790,event_type 34
17790,event_type 35
17790,event_type 34
17790,event_type 35
17789,event_type 35
17788,event_type 35
17788,event_type 34
17787,event_type 20
17786,event_type 23
17786,event_type 11
17785,event_type 20
17785,event_type 11
17784,event_type 11
17783,event_type 35
17783,event_type 34
17782,event_type 35
17782,event_type 34
17781,event_type 35
17781,event_type 34
17780,event_type 35
17780,event_type 34
17779,event_type 11
17778,event_type 11
17777,event_type 11
17777,event_type 15
17776,event_type 54
17775,event_type 44
17775,event_type 43
17775,event_type 42
17774,event_type 44
17774,event_type 42
17774,event_type 43
17773,event_type 15
17772,event_type 11
17772,event_type 36
17772,event_type 34
17772,event_type 35
17771,event_type 11
17770,event_type 15
17770,event_type 11
17769,event_type 34
17769,event_type 35
17768,event_type 11
17767,event_type 23
17767,event_type 11
17766,event_type 34
17766,event_type 11
17765,event_type 11
17765,event_type 13
17765,event_type 11
17765,event_type 13
17764,event_type 15
17764,event_type 11
17763,event_type 35
17762,event_type 15
17762,event_type 11
17762,event_type 15
17762,event_type 11
17761,event_type 34
17761,event_type 35
17760,event_type 15
17760,event_type 11
17759,event_type 15
17758,event_type 1
17758,event_type 15
17758,event_type 11
17757,event_type 11
17757,event_type 13
17757,event_type 11
17757,event_type 13
17756,event_type 11
17755,event_type 20
17754,event_type 11
17754,event_type 11
17753,event_type 15
17752,event_type 11
17752,event_type 11
17751,event_type 35
17751,event_type 34
17750,event_type 11
17749,event_type 15
17748,event_type 11
17747,event_type 11
17747,event_type 13
17747,event_type 11
17747,event_type 13
17746,event_type 15
17746,event_type 54
17745,event_type 15
17744,event_type 15
17743,event_type 35
17743,event_type 34
17742,event_type 15
17742,event_type 11
17741,event_type 15
17740,event_type 11
17740,event_type 15
17739,event_type 34
17739,event_type 35
17738,event_type 11
17737,event_type 11
17736,event_type 15
17735,event_type 15
17734,event_type 35
17734,event_type 34
17733,event_type 20
17733,event_type 35
17732,event_type 44
17732,event_type 42
17731,event_type 15
17730,event_type 34
17730,event_type 35
17729,event_type 11
17729,event_type 17
17728,event_type 34
17728,event_type 35
17727,event_type 15
17726,event_type 35
17725,event_type 35
17725,event_type 34
17724,event_type 11
17724,event_type 15
17723,event_type 11
17723,event_type 20
17722,event_type 15
17722,event_type 38
17721,event_type 11
17721,event_type 23
17720,event_type 20
17720,event_type 20
17719,event_type 20
17718,event_type 11
17717,event_type 40
17717,event_type 25
17716,event_type 35
17716,event_type 34
17715,event_type 38
17715,event_type 38
17714,event_type 15
17713,event_type 23
17713,event_type 22
17713,event_type 11
17713,event_type 54
17712,event_type 9
17711,event_type 11
17710,event_type 34
17710,event_type 20
17710,event_type 35
17709,event_type 15
17709,event_type 11
17708,event_type 15
17707,event_type 15
17707,event_type 11
17707,event_type 15
17707,event_type 11
