id,resource_type
447,resource_type 2
448,resource_type 8
449,resource_type 8
450,resource_type 2
451,resource_type 6
451,resource_type 10
451,resource_type 8
452,resource_type 8
453,resource_type 8
454,resource_type 8
454,resource_type 8
455,resource_type 2
456,resource_type 2
457,resource_type 2
458,resource_type 2
459,resource_type 2
460,resource_type 8
461,resource_type 8
461,resource_type 4
462,resource_type 8
463,resource_type 2
464,resource_type 8
465,resource_type 8
466,resource_type 8
466,resource_type 8
467,resource_type 8
468,resource_type 2
469,resource_type 2
470,resource_type 7
470,resource_type 8
470,resource_type 4
471,resource_type 8
472,resource_type 2
473,resource_type 8
474,resource_type 2
475,resource_type 2
476,resource_type 8
477,resource_type 8
478,resource_type 8
479,resource_type 8
480,resource_type 2
481,resource_type 8
482,resource_type 2
483,resource_type 2
484,resource_type 8
485,resource_type 8
486,resource_type 8
487,resource_type 8
488,resource_type 2
489,resource_type 8
490,resource_type 2
491,resource_type 8
492,resource_type 8
493,resource_type 2
494,resource_type 2
495,resource_type 8
496,resource_type 2
497,resource_type 2
498,resource_type 8
499,resource_type 2
500,resource_type 2
501,resource_type 2
502,resource_type 2
502,resource_type 8
503,resource_type 8
503,resource_type 8
504,resource_type 8
505,resource_type 8
506,resource_type 8
507,resource_type 2
508,resource_type 8
509,resource_type 8
510,resource_type 8
511,resource_type 2
512,resource_type 2
513,resource_type 8
514,resource_type 2
515,resource_type 2
516,resource_type 2
517,resource_type 8
518,resource_type 2
519,resource_type 2
520,resource_type 8
521,resource_type 2
521,resource_type 2
522,resource_type 2
522,resource_type 8
523,resource_type 8
523,resource_type 8
524,resource_type 2
525,resource_type 8
525,resource_type 6
526,resource_type 6
526,resource_type 8
527,resource_type 8
528,resource_type 8
528,resource_type 8
529,resource_type 8
529,resource_type 8
530,resource_type 2
531,resource_type 2
532,resource_type 8
533,resource_type 2
533,resource_type 2
534,resource_type 2
535,resource_type 6
535,resource_type 8
536,resource_type 2
537,resource_type 6
537,resource_type 8
538,resource_type 10
538,resource_type 8
539,resource_type 8
540,resource_type 8
541,resource_type 2
542,resource_type 7
543,resource_type 8
544,resource_type 8
544,resource_type 8
545,resource_type 4
545,resource_type 8
546,resource_type 8
547,resource_type 2
548,resource_type 2
549,resource_type 2
550,resource_type 8
551,resource_type 2
552,resource_type 8
553,resource_type 8
554,resource_type 8
555,resource_type 8
556,resource_type 8
557,resource_type 2
558,resource_type 8
559,resource_type 2
560,resource_type 8
561,resource_type 2
562,resource_type 2
563,resource_type 2
564,resource_type 8
565,resource_type 8
566,resource_type 8
567,resource_type 8
568,resource_type 8
568,resource_type 6
568,resource_type 10
569,resource_type 2
570,resource_type 8
571,resource_type 6
571,resource_type 8
572,resource_type 2
573,resource_type 2
574,resource_type 8
575,resource_type 8
576,resource_type 2
577,resource_type 2
578,resource_type 8
579,resource_type 2
580,resource_type 2
581,resource_type 8
582,resource_type 8
583,resource_type 2
584,resource_type 8
585,resource_type 8
585,resource_type 8
586,resource_type 8
587,resource_type 6
587,resource_type 8
588,resource_type 8
588,resource_type 8
589,resource_type 8
590,resource_type 8
591,resource_type 2
592,resource_type 1
592,resource_type 8
592,resource_type 2
593,resource_type 8
594,resource_type 8
595,resource_type 8
596,resource_type 2
596,resource_type 8
597,resource_type 8
598,resource_type 2
599,resource_type 2
600,resource_type 2
601,resource_type 2
602,resource_type 8
603,resource_type 2
604,resource_type 2
605,resource_type 8
606,resource_type 8
607,resource_type 8
607,resource_type 2
608,resource_type 8
609,resource_type 2
610,resource_type 8
610,resource_type 6
611,resource_type 8
612,resource_type 2
613,resource_type 2
614,resource_type 2
615,resource_type 2
616,resource_type 8
617,resource_type 10
617,resource_type 4
617,resource_type 6
617,resource_type 7
617,resource_type 8
618,resource_type 2
619,resource_type 8
620,resource_type 8
621,resource_type 8
621,resource_type 4
621,resource_type 8
621,resource_type 4
622,resource_type 8
622,resource_type 7
623,resource_type 8
624,resource_type 2
625,resource_type 8
625,resource_type 8
626,resource_type 2
627,resource_type 8
628,resource_type 8
629,resource_type 8
630,resource_type 2
631,resource_type 8
632,resource_type 8
633,resource_type 2
634,resource_type 8
635,resource_type 8
636,resource_type 2
637,resource_type 2
638,resource_type 2
639,resource_type 9
640,resource_type 6
640,resource_type 8
641,resource_type 2
641,resource_type 8
642,resource_type 2
642,resource_type 8
643,resource_type 8
644,resource_type 2
645,resource_type 2
646,resource_type 2
647,resource_type 8
648,resource_type 2
649,resource_type 2
650,resource_type 8
651,resource_type 2
652,resource_type 8
653,resource_type 2
653,resource_type 8
654,resource_type 8
655,resource_type 8
656,resource_type 2
657,resource_type 2
658,resource_type 2
658,resource_type 9
658,resource_type 8
659,resource_type 2
660,resource_type 2
661,resource_type 8
661,resource_type 6
661,resource_type 10
662,resource_type 2
663,resource_type 2
663,resource_type 8
664,resource_type 8
665,resource_type 8
666,resource_type 2
667,resource_type 2
668,resource_type 2
669,resource_type 2
670,resource_type 8
671,resource_type 2
672,resource_type 2
673,resource_type 8
674,resource_type 2
675,resource_type 8
676,resource_type 8
677,resource_type 2
678,resource_type 2
679,resource_type 8
680,resource_type 2
681,resource_type 8
682,resource_type 2
683,resource_type 8
684,resource_type 8
685,resource_type 8
686,resource_type 8
687,resource_type 2
688,resource_type 2
689,resource_type 2
690,resource_type 8
691,resource_type 8
691,resource_type 8
692,resource_type 2
692,resource_type 8
693,resource_type 2
693,resource_type 8
694,resource_type 2
694,resource_type 8
695,resource_type 8
696,resource_type 8
697,resource_type 2
698,resource_type 8
699,resource_type 8
700,resource_type 8
701,resource_type 8
702,resource_type 8
702,resource_type 1
702,resource_type 8
702,resource_type 1
703,resource_type 2
704,resource_type 7
704,resource_type 7
705,resource_type 8
705,resource_type 8
706,resource_type 8
707,resource_type 2
708,resource_type 8
709,resource_type 8
710,resource_type 8
711,resource_type 8
711,resource_type 2
712,resource_type 2
713,resource_type 2
714,resource_type 8
715,resource_type 2
716,resource_type 2
717,resource_type 2
718,resource_type 8
718,resource_type 2
719,resource_type 8
720,resource_type 2
721,resource_type 8
722,resource_type 8
723,resource_type 2
724,resource_type 2
725,resource_type 8
726,resource_type 2
727,resource_type 2
728,resource_type 8
729,resource_type 6
729,resource_type 8
730,resource_type 7
730,resource_type 8
731,resource_type 2
732,resource_type 8
732,resource_type 4
733,resource_type 8
734,resource_type 2
735,resource_type 2
736,resource_type 8
737,resource_type 8
738,resource_type 2
739,resource_type 8
740,resource_type 2
741,resource_type 8
742,resource_type 8
743,resource_type 8
744,resource_type 2
745,resource_type 2
746,resource_type 8
747,resource_type 2
748,resource_type 8
749,resource_type 2
750,resource_type 8
751,resource_type 8
752,resource_type 2
752,resource_type 8
753,resource_type 8
754,resource_type 8
754,resource_type 8
755,resource_type 2
756,resource_type 2
757,resource_type 8
758,resource_type 4
758,resource_type 8
759,resource_type 2
760,resource_type 8
761,resource_type 3
761,resource_type 8
762,resource_type 8
763,resource_type 2
764,resource_type 8
765,resource_type 7
765,resource_type 8
766,resource_type 2
767,resource_type 2
768,resource_type 2
769,resource_type 2
770,resource_type 8
770,resource_type 8
771,resource_type 8
772,resource_type 8
773,resource_type 2
774,resource_type 2
775,resource_type 8
775,resource_type 8
776,resource_type 8
777,resource_type 9
777,resource_type 8
778,resource_type 8
779,resource_type 2
780,resource_type 2
781,resource_type 8
781,resource_type 8
782,resource_type 8
783,resource_type 8
784,resource_type 2
785,resource_type 2
786,resource_type 2
787,resource_type 2
788,resource_type 2
789,resource_type 8
790,resource_type 8
791,resource_type 2
792,resource_type 2
793,resource_type 8
794,resource_type 8
795,resource_type 8
795,resource_type 2
796,resource_type 8
796,resource_type 8
797,resource_type 2
798,resource_type 8
799,resource_type 2
800,resource_type 2
801,resource_type 2
802,resource_type 8
803,resource_type 8
804,resource_type 2
805,resource_type 8
806,resource_type 8
806,resource_type 2
806,resource_type 8
806,resource_type 2
807,resource_type 2
808,resource_type 2
809,resource_type 2
810,resource_type 2
811,resource_type 2
812,resource_type 8
813,resource_type 8
814,resource_type 8
815,resource_type 2
816,resource_type 8
817,resource_type 8
817,resource_type 8
818,resource_type 8
819,resource_type 8
820,resource_type 8
820,resource_type 8
821,resource_type 8
822,resource_type 2
823,resource_type 2
824,resource_type 8
824,resource_type 8
825,resource_type 2
826,resource_type 2
827,resource_type 2
828,resource_type 8
829,resource_type 2
830,resource_type 2
831,resource_type 2
832,resource_type 2
833,resource_type 8
834,resource_type 2
835,resource_type 8
835,resource_type 2
836,resource_type 2
837,resource_type 2
838,resource_type 8
839,resource_type 8
840,resource_type 3
841,resource_type 8
841,resource_type 8
842,resource_type 2
843,resource_type 2
844,resource_type 2
845,resource_type 8
845,resource_type 8
846,resource_type 8
847,resource_type 8
848,resource_type 8
849,resource_type 2
850,resource_type 8
851,resource_type 2
852,resource_type 2
853,resource_type 2
854,resource_type 2
854,resource_type 8
855,resource_type 8
856,resource_type 2
857,resource_type 3
858,resource_type 8
859,resource_type 2
860,resource_type 8
861,resource_type 4
861,resource_type 8
862,resource_type 8
863,resource_type 8
864,resource_type 8
865,resource_type 2
865,resource_type 7
865,resource_type 8
866,resource_type 8
867,resource_type 2
867,resource_type 8
868,resource_type 2
869,resource_type 2
870,resource_type 2
871,resource_type 2
872,resource_type 8
873,resource_type 8
874,resource_type 8
875,resource_type 8
876,resource_type 2
877,resource_type 8
877,resource_type 6
877,resource_type 8
877,resource_type 6
878,resource_type 8
878,resource_type 8
879,resource_type 2
880,resource_type 8
881,resource_type 8
882,resource_type 3
883,resource_type 8
884,resource_type 2
884,resource_type 8
885,resource_type 2
886,resource_type 8
887,resource_type 2
888,resource_type 3
889,resource_type 2
890,resource_type 8
891,resource_type 2
892,resource_type 2
893,resource_type 8
894,resource_type 8
895,resource_type 2
896,resource_type 8
897,resource_type 2
898,resource_type 2
899,resource_type 2
900,resource_type 8
901,resource_type 8
902,resource_type 8
903,resource_type 8
904,resource_type 8
905,resource_type 8
906,resource_type 8
907,resource_type 8
907,resource_type 8
908,resource_type 8
908,resource_type 2
909,resource_type 8
910,resource_type 8
911,resource_type 2
912,resource_type 8
913,resource_type 2
914,resource_type 8
914,resource_type 4
915,resource_type 8
916,resource_type 2
917,resource_type 2
918,resource_type 2
919,resource_type 2
920,resource_type 2
921,resource_type 8
922,resource_type 2
922,resource_type 7
923,resource_type 2
924,resource_type 8
925,resource_type 2
926,resource_type 2
927,resource_type 8
928,resource_type 8
929,resource_type 2
930,resource_type 8
931,resource_type 2
932,resource_type 2
933,resource_type 2
933,resource_type 8
934,resource_type 2
935,resource_type 8
936,resource_type 2
937,resource_type 8
937,resource_type 8
938,resource_type 8
939,resource_type 8
940,resource_type 7
941,resource_type 8
941,resource_type 2
942,resource_type 2
943,resource_type 2
944,resource_type 2
945,resource_type 2
946,resource_type 2
947,resource_type 8
948,resource_type 8
949,resource_type 8
950,resource_type 2
951,resource_type 2
952,resource_type 8
952,resource_type 6
953,resource_type 3
954,resource_type 7
954,resource_type 8
955,resource_type 2
956,resource_type 8
957,resource_type 8
957,resource_type 8
958,resource_type 2
959,resource_type 8
960,resource_type 8
961,resource_type 8
961,resource_type 8
962,resource_type 2
963,resource_type 8
963,resource_type 2
964,resource_type 8
965,resource_type 8
966,resource_type 2
967,resource_type 2
968,resource_type 2
969,resource_type 10
970,resource_type 2
971,resource_type 2
972,resource_type 2
973,resource_type 2
974,resource_type 2
975,resource_type 8
976,resource_type 2
977,resource_type 8
977,resource_type 2
977,resource_type 8
977,resource_type 2
978,resource_type 4
978,resource_type 7
978,resource_type 8
979,resource_type 8
979,resource_type 8
980,resource_type 2
981,resource_type 8
981,resource_type 4
982,resource_type 8
983,resource_type 2
984,resource_type 2
985,resource_type 8
985,resource_type 8
986,resource_type 8
987,resource_type 4
987,resource_type 8
987,resource_type 4
987,resource_type 8
988,resource_type 8
988,resource_type 8
989,resource_type 9
989,resource_type 3
990,resource_type 2
991,resource_type 8
991,resource_type 8
992,resource_type 8
993,resource_type 8
994,resource_type 9
994,resource_type 8
995,resource_type 8
996,resource_type 2
997,resource_type 8
997,resource_type 7
997,resource_type 8
997,resource_type 7
998,resource_type 8
999,resource_type 8
1000,resource_type 8
1001,resource_type 2
1002,resource_type 8
1003,resource_type 2
1004,resource_type 8
1004,resource_type 6
1005,resource_type 8
1006,resource_type 8
1007,resource_type 8
1007,resource_type 8
1008,resource_type 8
1009,resource_type 2
1010,resource_type 2
1011,resource_type 2
1012,resource_type 2
1013,resource_type 2
1014,resource_type 2
1015,resource_type 4
1015,resource_type 8
1016,resource_type 2
1017,resource_type 2
1018,resource_type 8
1019,resource_type 2
1020,resource_type 2
1021,resource_type 2
1022,resource_type 8
1022,resource_type 6
1023,resource_type 8
1024,resource_type 2
1025,resource_type 8
1025,resource_type 7
1026,resource_type 8
1027,resource_type 2
1028,resource_type 2
1029,resource_type 2
1030,resource_type 8
1031,resource_type 8
1032,resource_type 2
1033,resource_type 2
1034,resource_type 8
1035,resource_type 2
1035,resource_type 8
1035,resource_type 4
1036,resource_type 8
1036,resource_type 2
1037,resource_type 2
1038,resource_type 2
1039,resource_type 8
1039,resource_type 8
1040,resource_type 2
1041,resource_type 8
1042,resource_type 2
1043,resource_type 7
1043,resource_type 8
1044,resource_type 7
1045,resource_type 8
1046,resource_type 8
1047,resource_type 2
1048,resource_type 8
1048,resource_type 8
1049,resource_type 2
1050,resource_type 8
1050,resource_type 6
1051,resource_type 2
1052,resource_type 8
1053,resource_type 8
1054,resource_type 8
1055,resource_type 2
1056,resource_type 8
1057,resource_type 2
1057,resource_type 4
1058,resource_type 2
1059,resource_type 2
1060,resource_type 8
1061,resource_type 8
1062,resource_type 8
1063,resource_type 8
1063,resource_type 4
1064,resource_type 8
1064,resource_type 8
1065,resource_type 8
1066,resource_type 2
1067,resource_type 2
1068,resource_type 8
1068,resource_type 8
1069,resource_type 2
1070,resource_type 8
1071,resource_type 2
1072,resource_type 8
1073,resource_type 8
1074,resource_type 6
1074,resource_type 8
1075,resource_type 2
1076,resource_type 8
1077,resource_type 2
1078,resource_type 8
1079,resource_type 2
1080,resource_type 8
1081,resource_type 2
1082,resource_type 8
1083,resource_type 2
1084,resource_type 8
1085,resource_type 2
1086,resource_type 8
1087,resource_type 8
1088,resource_type 8
1089,resource_type 2
1090,resource_type 2
1091,resource_type 8
1091,resource_type 7
1092,resource_type 8
1092,resource_type 8
1093,resource_type 2
1094,resource_type 2
1095,resource_type 8
1096,resource_type 8
1097,resource_type 2
1098,resource_type 8
1099,resource_type 2
1100,resource_type 2
1101,resource_type 2
1102,resource_type 8
1103,resource_type 2
1104,resource_type 8
1104,resource_type 2
1105,resource_type 2
1106,resource_type 8
1106,resource_type 8
1107,resource_type 8
1108,resource_type 2
1109,resource_type 2
1109,resource_type 8
1110,resource_type 8
1111,resource_type 8
1111,resource_type 8
1112,resource_type 4
1112,resource_type 8
1113,resource_type 2
1114,resource_type 2
1115,resource_type 2
1116,resource_type 2
1117,resource_type 8
1118,resource_type 2
1119,resource_type 2
1120,resource_type 8
1121,resource_type 8
1122,resource_type 8
1123,resource_type 8
1124,resource_type 2
1125,resource_type 8
1125,resource_type 4
1126,resource_type 8
1127,resource_type 8
1128,resource_type 2
1129,resource_type 2
1130,resource_type 7
1130,resource_type 8
1130,resource_type 2
1131,resource_type 2
1132,resource_type 8
1133,resource_type 8
1134,resource_type 8
1135,resource_type 8
1136,resource_type 2
1137,resource_type 6
1138,resource_type 8
1139,resource_type 8
1140,resource_type 2
1140,resource_type 8
1141,resource_type 2
1142,resource_type 2
1143,resource_type 8
1144,resource_type 8
1145,resource_type 2
1146,resource_type 8
1147,resource_type 2
1148,resource_type 2
1149,resource_type 2
1150,resource_type 8
1150,resource_type 8
1151,resource_type 8
1152,resource_type 8
1153,resource_type 8
1154,resource_type 2
1154,resource_type 8
1155,resource_type 2
1156,resource_type 6
1156,resource_type 8
1157,resource_type 8
1158,resource_type 2
1159,resource_type 2
1160,resource_type 2
1161,resource_type 8
1161,resource_type 8
1162,resource_type 2
1163,resource_type 8
1163,resource_type 4
1163,resource_type 7
1164,resource_type 4
1164,resource_type 8
1164,resource_type 6
1164,resource_type 7
1165,resource_type 2
1166,resource_type 8
1167,resource_type 2
1168,resource_type 2
1169,resource_type 8
1169,resource_type 6
1170,resource_type 8
1171,resource_type 8
1172,resource_type 2
1173,resource_type 8
1174,resource_type 2
1174,resource_type 8
1175,resource_type 8
1175,resource_type 7
1176,resource_type 8
1176,resource_type 2
1177,resource_type 8
1178,resource_type 8
1179,resource_type 2
1180,resource_type 2
1181,resource_type 2
1182,resource_type 6
1182,resource_type 8
1182,resource_type 6
1182,resource_type 8
1183,resource_type 2
1184,resource_type 8
1184,resource_type 2
1184,resource_type 7
1184,resource_type 4
1185,resource_type 2
1186,resource_type 2
1187,resource_type 8
1188,resource_type 2
1189,resource_type 8
1190,resource_type 8
1191,resource_type 8
1191,resource_type 8
1192,resource_type 6
1192,resource_type 8
1193,resource_type 8
1194,resource_type 8
1195,resource_type 8
1196,resource_type 7
1197,resource_type 2
1198,resource_type 8
1198,resource_type 8
1199,resource_type 2
1200,resource_type 8
1200,resource_type 8
1201,resource_type 2
1202,resource_type 2
1203,resource_type 8
1203,resource_type 2
1204,resource_type 2
1205,resource_type 2
1206,resource_type 8
1207,resource_type 8
1208,resource_type 2
1209,resource_type 8
1210,resource_type 2
1211,resource_type 8
1212,resource_type 2
1213,resource_type 2
1214,resource_type 2
1215,resource_type 2
1216,resource_type 8
1217,resource_type 2
1218,resource_type 2
1219,resource_type 2
1219,resource_type 2
1220,resource_type 8
1220,resource_type 7
1221,resource_type 4
1221,resource_type 8
1221,resource_type 6
1222,resource_type 8
1223,resource_type 8
1223,resource_type 2
1224,resource_type 2
1225,resource_type 8
1226,resource_type 8
1227,resource_type 2
1228,resource_type 2
1229,resource_type 2
1230,resource_type 8
1231,resource_type 8
1232,resource_type 2
1233,resource_type 8
1234,resource_type 8
1234,resource_type 2
1235,resource_type 8
1236,resource_type 8
